floor,04
location,002
type,Plug
DD-MM-YYYY,time,data
29-09-2024,00:00,0
29-09-2024,01:00,0.8
29-09-2024,02:00,1.72
29-09-2024,03:00,1.75
29-09-2024,04:00,1.06
29-09-2024,05:00,0
29-09-2024,06:00,1.0
29-09-2024,07:00,2.57
29-09-2024,08:00,0.9
29-09-2024,09:00,3.94
29-09-2024,10:00,2.35
29-09-2024,11:00,3.54
29-09-2024,12:00,3.17
29-09-2024,13:00,5
29-09-2024,14:00,1.92
29-09-2024,15:00,2.0
29-09-2024,16:00,3.58
29-09-2024,17:00,0.15
29-09-2024,18:00,2.62
29-09-2024,19:00,0.83
29-09-2024,20:00,2.03
29-09-2024,21:00,0.26
29-09-2024,22:00,0.56
29-09-2024,23:00,2.02
30-09-2024,00:00,2.72
30-09-2024,01:00,0.33
30-09-2024,02:00,0.04
30-09-2024,03:00,0.16
30-09-2024,04:00,1.84
30-09-2024,05:00,0.59
30-09-2024,06:00,2.6
30-09-2024,07:00,3.96
30-09-2024,08:00,1.2
30-09-2024,09:00,2.2
30-09-2024,10:00,4.87
30-09-2024,11:00,3.08
30-09-2024,12:00,2.03
30-09-2024,13:00,4.59
30-09-2024,14:00,4.66
30-09-2024,15:00,3.31
30-09-2024,16:00,0.86
30-09-2024,17:00,4.94
30-09-2024,18:00,1.67
30-09-2024,19:00,1.41
30-09-2024,20:00,1.53
30-09-2024,21:00,1.38
30-09-2024,22:00,1.0
30-09-2024,23:00,1.86
01-10-2024,00:00,1.6
01-10-2024,01:00,0
01-10-2024,02:00,0.16
01-10-2024,03:00,0.56
01-10-2024,04:00,1.24
01-10-2024,05:00,2.12
01-10-2024,06:00,2.73
01-10-2024,07:00,2.43
01-10-2024,08:00,3.88
01-10-2024,09:00,3.74
01-10-2024,10:00,3.44
01-10-2024,11:00,3.12
01-10-2024,12:00,2.66
01-10-2024,13:00,1.96
01-10-2024,14:00,5
01-10-2024,15:00,2.64
01-10-2024,16:00,2.23
01-10-2024,17:00,5
01-10-2024,18:00,2.12
01-10-2024,19:00,1.65
01-10-2024,20:00,1.43
01-10-2024,21:00,1.48
01-10-2024,22:00,1.43
01-10-2024,23:00,0.52
02-10-2024,00:00,1.66
02-10-2024,01:00,1.38
02-10-2024,02:00,0.05
02-10-2024,03:00,0.58
02-10-2024,04:00,1.05
02-10-2024,05:00,1.23
02-10-2024,06:00,3.71
02-10-2024,07:00,1.22
02-10-2024,08:00,3.62
02-10-2024,09:00,1.84
02-10-2024,10:00,4.25
02-10-2024,11:00,2.3
02-10-2024,12:00,4.14
02-10-2024,13:00,3.32
02-10-2024,14:00,2.14
02-10-2024,15:00,2.12
02-10-2024,16:00,2.36
02-10-2024,17:00,2.99
02-10-2024,18:00,1.37
02-10-2024,19:00,0.13
02-10-2024,20:00,0.68
02-10-2024,21:00,0
02-10-2024,22:00,1.08
02-10-2024,23:00,1.4
03-10-2024,00:00,1.14
03-10-2024,01:00,1.48
03-10-2024,02:00,1.19
03-10-2024,03:00,1.52
03-10-2024,04:00,0
03-10-2024,05:00,1.85
03-10-2024,06:00,3.43
03-10-2024,07:00,1.47
03-10-2024,08:00,2.71
03-10-2024,09:00,1.49
03-10-2024,10:00,3.9
03-10-2024,11:00,2.4
03-10-2024,12:00,1.55
03-10-2024,13:00,4.3
03-10-2024,14:00,4.3
03-10-2024,15:00,3.56
03-10-2024,16:00,4.28
03-10-2024,17:00,3.05
03-10-2024,18:00,4.23
03-10-2024,19:00,3.68
03-10-2024,20:00,0
03-10-2024,21:00,1.74
03-10-2024,22:00,0
03-10-2024,23:00,0.92
04-10-2024,00:00,1.72
04-10-2024,01:00,0
04-10-2024,02:00,0
04-10-2024,03:00,0
04-10-2024,04:00,2.51
04-10-2024,05:00,1.77
04-10-2024,06:00,3.9
04-10-2024,07:00,2.35
04-10-2024,08:00,3.54
04-10-2024,09:00,3.26
04-10-2024,10:00,4.27
04-10-2024,11:00,4.06
04-10-2024,12:00,4.56
04-10-2024,13:00,1.9
04-10-2024,14:00,3.06
04-10-2024,15:00,2.38
04-10-2024,16:00,5
04-10-2024,17:00,2.7
04-10-2024,18:00,2.84
04-10-2024,19:00,0.29
04-10-2024,20:00,0
04-10-2024,21:00,2.25
04-10-2024,22:00,0.87
04-10-2024,23:00,2.14
05-10-2024,00:00,0
05-10-2024,01:00,0
05-10-2024,02:00,1.24
05-10-2024,03:00,1.34
05-10-2024,04:00,0.59
05-10-2024,05:00,1.16
05-10-2024,06:00,2.72
05-10-2024,07:00,4.3
05-10-2024,08:00,3.83
05-10-2024,09:00,3.09
05-10-2024,10:00,3.41
05-10-2024,11:00,2.66
05-10-2024,12:00,3.77
05-10-2024,13:00,2.61
05-10-2024,14:00,2.45
05-10-2024,15:00,3.13
05-10-2024,16:00,4.59
05-10-2024,17:00,4.16
05-10-2024,18:00,4.6
05-10-2024,19:00,2.37
05-10-2024,20:00,1.07
05-10-2024,21:00,0.34
05-10-2024,22:00,2.32
05-10-2024,23:00,0
06-10-2024,00:00,1.02
06-10-2024,01:00,1.0
06-10-2024,02:00,0.71
06-10-2024,03:00,1.16
06-10-2024,04:00,0.75
06-10-2024,05:00,0
06-10-2024,06:00,1.69
06-10-2024,07:00,3.49
06-10-2024,08:00,2.54
06-10-2024,09:00,1.94
06-10-2024,10:00,3.45
06-10-2024,11:00,3.76
06-10-2024,12:00,2.18
06-10-2024,13:00,1.83
06-10-2024,14:00,4.52
06-10-2024,15:00,3.52
06-10-2024,16:00,4.12
06-10-2024,17:00,3.06
06-10-2024,18:00,2.68
06-10-2024,19:00,1.17
06-10-2024,20:00,0.51
06-10-2024,21:00,0.73
06-10-2024,22:00,0.4
06-10-2024,23:00,1.34
07-10-2024,00:00,0.26
07-10-2024,01:00,0.85
07-10-2024,02:00,0.15
07-10-2024,03:00,0
07-10-2024,04:00,1.4
07-10-2024,05:00,0.16
07-10-2024,06:00,3.17
07-10-2024,07:00,2.77
07-10-2024,08:00,3.75
07-10-2024,09:00,3.05
07-10-2024,10:00,1.55
07-10-2024,11:00,2.7
07-10-2024,12:00,2.88
07-10-2024,13:00,2.53
07-10-2024,14:00,2.53
07-10-2024,15:00,2.97
07-10-2024,16:00,2.33
07-10-2024,17:00,4.52
07-10-2024,18:00,5
07-10-2024,19:00,1.01
07-10-2024,20:00,0
07-10-2024,21:00,0.79
07-10-2024,22:00,2.07
07-10-2024,23:00,0.64
08-10-2024,00:00,2.62
08-10-2024,01:00,0.07
08-10-2024,02:00,0.61
08-10-2024,03:00,2.02
08-10-2024,04:00,0
08-10-2024,05:00,0
08-10-2024,06:00,3.35
08-10-2024,07:00,2.07
08-10-2024,08:00,4.26
08-10-2024,09:00,3.58
08-10-2024,10:00,2.74
08-10-2024,11:00,2.13
08-10-2024,12:00,3.49
08-10-2024,13:00,4.52
08-10-2024,14:00,4.11
08-10-2024,15:00,2.73
08-10-2024,16:00,2.2
08-10-2024,17:00,3.71
08-10-2024,18:00,4.71
08-10-2024,19:00,1.52
08-10-2024,20:00,0.24
08-10-2024,21:00,0.91
08-10-2024,22:00,0.83
08-10-2024,23:00,0.96
09-10-2024,00:00,0.52
09-10-2024,01:00,3.59
09-10-2024,02:00,2.12
09-10-2024,03:00,1.92
09-10-2024,04:00,1.71
09-10-2024,05:00,1.31
09-10-2024,06:00,3.56
09-10-2024,07:00,4.23
09-10-2024,08:00,4.4
09-10-2024,09:00,1.63
09-10-2024,10:00,3.05
09-10-2024,11:00,3.12
09-10-2024,12:00,3.08
09-10-2024,13:00,2.78
09-10-2024,14:00,4.29
09-10-2024,15:00,2.95
09-10-2024,16:00,4.34
09-10-2024,17:00,2.79
09-10-2024,18:00,3.14
09-10-2024,19:00,2.82
09-10-2024,20:00,1.23
09-10-2024,21:00,2.76
09-10-2024,22:00,2.29
09-10-2024,23:00,0.28
10-10-2024,00:00,1.21
10-10-2024,01:00,1.95
10-10-2024,02:00,0.39
10-10-2024,03:00,0.64
10-10-2024,04:00,0.76
10-10-2024,05:00,2.01
10-10-2024,06:00,3.58
10-10-2024,07:00,2.88
10-10-2024,08:00,3.39
10-10-2024,09:00,3.21
10-10-2024,10:00,1.24
10-10-2024,11:00,1.41
10-10-2024,12:00,2.78
10-10-2024,13:00,2.24
10-10-2024,14:00,2.36
10-10-2024,15:00,2.01
10-10-2024,16:00,3.2
10-10-2024,17:00,2.54
10-10-2024,18:00,4.8
10-10-2024,19:00,2.3
10-10-2024,20:00,1.51
10-10-2024,21:00,0.95
10-10-2024,22:00,0.11
10-10-2024,23:00,2.26
11-10-2024,00:00,1.08
11-10-2024,01:00,0.39
11-10-2024,02:00,0
11-10-2024,03:00,2.7
11-10-2024,04:00,0
11-10-2024,05:00,0.14
11-10-2024,06:00,3.34
11-10-2024,07:00,4.51
11-10-2024,08:00,3.92
11-10-2024,09:00,2.05
11-10-2024,10:00,1.28
11-10-2024,11:00,2.37
11-10-2024,12:00,4.05
11-10-2024,13:00,4.37
11-10-2024,14:00,2.53
11-10-2024,15:00,2.09
11-10-2024,16:00,3.86
11-10-2024,17:00,2.17
11-10-2024,18:00,2.13
11-10-2024,19:00,0.49
11-10-2024,20:00,0.08
11-10-2024,21:00,0.77
11-10-2024,22:00,1.08
11-10-2024,23:00,1.38
12-10-2024,00:00,0.73
12-10-2024,01:00,2.61
12-10-2024,02:00,1.82
12-10-2024,03:00,1.48
12-10-2024,04:00,0.78
12-10-2024,05:00,1.54
12-10-2024,06:00,2.09
12-10-2024,07:00,2.73
12-10-2024,08:00,3.64
12-10-2024,09:00,2.36
12-10-2024,10:00,3.49
12-10-2024,11:00,2.41
12-10-2024,12:00,4.97
12-10-2024,13:00,3.42
12-10-2024,14:00,2.42
12-10-2024,15:00,3.48
12-10-2024,16:00,2.25
12-10-2024,17:00,2.89
12-10-2024,18:00,0.57
12-10-2024,19:00,0.36
12-10-2024,20:00,2.06
12-10-2024,21:00,1.44
12-10-2024,22:00,1.09
12-10-2024,23:00,2.26
13-10-2024,00:00,1.86
13-10-2024,01:00,1.82
13-10-2024,02:00,0
13-10-2024,03:00,1.9
13-10-2024,04:00,0.76
13-10-2024,05:00,2.14
13-10-2024,06:00,3.29
13-10-2024,07:00,4.42
13-10-2024,08:00,3.35
13-10-2024,09:00,3.68
13-10-2024,10:00,3.42
13-10-2024,11:00,2.8
13-10-2024,12:00,2.2
13-10-2024,13:00,2.84
13-10-2024,14:00,1.35
13-10-2024,15:00,2.82
13-10-2024,16:00,2.61
13-10-2024,17:00,3.78
13-10-2024,18:00,3.5
13-10-2024,19:00,0.74
13-10-2024,20:00,2.11
13-10-2024,21:00,1.72
13-10-2024,22:00,1.55
13-10-2024,23:00,1.71
14-10-2024,00:00,0.44
14-10-2024,01:00,1.09
14-10-2024,02:00,0
