floor,09
location,002
type,AC1
DD-MM-YYYY,time,data
29-09-2024,00:00,1.01
29-09-2024,01:00,0.43
29-09-2024,02:00,1.62
29-09-2024,03:00,0.19
29-09-2024,04:00,1.28
29-09-2024,05:00,0.84
29-09-2024,06:00,2.89
29-09-2024,07:00,1.29
29-09-2024,08:00,0.96
29-09-2024,09:00,3.65
29-09-2024,10:00,3.28
29-09-2024,11:00,3.77
29-09-2024,12:00,3.31
29-09-2024,13:00,3.09
29-09-2024,14:00,3.99
29-09-2024,15:00,3.83
29-09-2024,16:00,0.58
29-09-2024,17:00,2.97
29-09-2024,18:00,3.35
29-09-2024,19:00,1.11
29-09-2024,20:00,1.47
29-09-2024,21:00,0
29-09-2024,22:00,2.35
29-09-2024,23:00,1.19
30-09-2024,00:00,1.34
30-09-2024,01:00,0.09
30-09-2024,02:00,1.67
30-09-2024,03:00,1.87
30-09-2024,04:00,2.63
30-09-2024,05:00,0.21
30-09-2024,06:00,4.33
30-09-2024,07:00,2.03
30-09-2024,08:00,4.7
30-09-2024,09:00,4.33
30-09-2024,10:00,4.5
30-09-2024,11:00,2.64
30-09-2024,12:00,3.7
30-09-2024,13:00,4.61
30-09-2024,14:00,5
30-09-2024,15:00,4.64
30-09-2024,16:00,2.62
30-09-2024,17:00,1.82
30-09-2024,18:00,2.95
30-09-2024,19:00,1.19
30-09-2024,20:00,2.11
30-09-2024,21:00,0.67
30-09-2024,22:00,1.95
30-09-2024,23:00,2.71
01-10-2024,00:00,1.94
01-10-2024,01:00,1.66
01-10-2024,02:00,1.15
01-10-2024,03:00,0
01-10-2024,04:00,0
01-10-2024,05:00,1.68
01-10-2024,06:00,3.1
01-10-2024,07:00,2.2
01-10-2024,08:00,2.08
01-10-2024,09:00,1.95
01-10-2024,10:00,3.64
01-10-2024,11:00,1.5
01-10-2024,12:00,3.01
01-10-2024,13:00,3.49
01-10-2024,14:00,3.09
01-10-2024,15:00,3.84
01-10-2024,16:00,2.17
01-10-2024,17:00,0.19
01-10-2024,18:00,2.05
01-10-2024,19:00,2.89
01-10-2024,20:00,1.23
01-10-2024,21:00,0.93
01-10-2024,22:00,1.27
01-10-2024,23:00,2.47
02-10-2024,00:00,0.18
02-10-2024,01:00,0.94
02-10-2024,02:00,0
02-10-2024,03:00,1.45
02-10-2024,04:00,0.43
02-10-2024,05:00,1.35
02-10-2024,06:00,2.58
02-10-2024,07:00,2.77
02-10-2024,08:00,1.4
02-10-2024,09:00,2.04
02-10-2024,10:00,2.62
02-10-2024,11:00,4.23
02-10-2024,12:00,3.76
02-10-2024,13:00,3.29
02-10-2024,14:00,2.81
02-10-2024,15:00,3.29
02-10-2024,16:00,2.54
02-10-2024,17:00,3.85
