floor,03
location,006
type,AC2
DD-MM-YYYY,time,data
29-09-2024,00:00,1.92
29-09-2024,01:00,1.39
29-09-2024,02:00,0
29-09-2024,03:00,1.12
29-09-2024,04:00,0.39
29-09-2024,05:00,2.92
29-09-2024,06:00,2.84
29-09-2024,07:00,3.75
29-09-2024,08:00,3.51
29-09-2024,09:00,2.07
29-09-2024,10:00,2.78
29-09-2024,11:00,2.29
29-09-2024,12:00,3.07
29-09-2024,13:00,2.55
29-09-2024,14:00,2.3
29-09-2024,15:00,2.34
29-09-2024,16:00,2.66
29-09-2024,17:00,1.89
29-09-2024,18:00,3.23
29-09-2024,19:00,0.73
29-09-2024,20:00,0.93
29-09-2024,21:00,2.29
29-09-2024,22:00,1.76
29-09-2024,23:00,1.13
30-09-2024,00:00,0.75
30-09-2024,01:00,0.18
30-09-2024,02:00,1.63
30-09-2024,03:00,0
30-09-2024,04:00,0.35
30-09-2024,05:00,0
30-09-2024,06:00,1.99
30-09-2024,07:00,3.04
30-09-2024,08:00,1.67
30-09-2024,09:00,3.89
30-09-2024,10:00,3.35
30-09-2024,11:00,2.21
30-09-2024,12:00,4.62
30-09-2024,13:00,3.25
30-09-2024,14:00,4.42
30-09-2024,15:00,3.8
30-09-2024,16:00,4.04
30-09-2024,17:00,2.49
30-09-2024,18:00,3.2
30-09-2024,19:00,2.2
30-09-2024,20:00,1.14
30-09-2024,21:00,1.41
30-09-2024,22:00,2.76
30-09-2024,23:00,1.51
01-10-2024,00:00,0.39
01-10-2024,01:00,3.14
01-10-2024,02:00,1.64
01-10-2024,03:00,2.29
01-10-2024,04:00,2.0
01-10-2024,05:00,0.71
01-10-2024,06:00,2.01
01-10-2024,07:00,3.72
01-10-2024,08:00,2.84
01-10-2024,09:00,3.46
01-10-2024,10:00,3.12
01-10-2024,11:00,2.19
01-10-2024,12:00,2.5
01-10-2024,13:00,3.6
01-10-2024,14:00,3.41
01-10-2024,15:00,4.15
01-10-2024,16:00,4.07
01-10-2024,17:00,4.41
01-10-2024,18:00,2.71
01-10-2024,19:00,3.16
01-10-2024,20:00,1.55
01-10-2024,21:00,0.93
01-10-2024,22:00,1.76
01-10-2024,23:00,0
02-10-2024,00:00,0
02-10-2024,01:00,0.21
02-10-2024,02:00,0.26
02-10-2024,03:00,0.09
02-10-2024,04:00,1.07
02-10-2024,05:00,1.81
02-10-2024,06:00,0.91
02-10-2024,07:00,1.45
02-10-2024,08:00,3.58
02-10-2024,09:00,1.38
02-10-2024,10:00,0.51
02-10-2024,11:00,3.37
02-10-2024,12:00,2.45
02-10-2024,13:00,2.2
02-10-2024,14:00,3.57
02-10-2024,15:00,1.99
02-10-2024,16:00,2.59
02-10-2024,17:00,4.56
02-10-2024,18:00,2.87
02-10-2024,19:00,1.55
02-10-2024,20:00,1.1
02-10-2024,21:00,0.46
02-10-2024,22:00,0.46
02-10-2024,23:00,2.28
03-10-2024,00:00,0
03-10-2024,01:00,1.94
03-10-2024,02:00,2.67
03-10-2024,03:00,1.16
03-10-2024,04:00,0.77
03-10-2024,05:00,2.72
03-10-2024,06:00,3.89
03-10-2024,07:00,2.39
03-10-2024,08:00,2.54
03-10-2024,09:00,2.26
03-10-2024,10:00,2.59
03-10-2024,11:00,1.3
03-10-2024,12:00,2.59
03-10-2024,13:00,4.88
03-10-2024,14:00,4.19
03-10-2024,15:00,2.5
03-10-2024,16:00,2.15
03-10-2024,17:00,1.9
03-10-2024,18:00,1.72
03-10-2024,19:00,0.88
03-10-2024,20:00,1.95
03-10-2024,21:00,1.33
03-10-2024,22:00,1.26
03-10-2024,23:00,1.29
04-10-2024,00:00,0
04-10-2024,01:00,0.88
04-10-2024,02:00,1.86
04-10-2024,03:00,0.66
04-10-2024,04:00,1.03
04-10-2024,05:00,2.09
04-10-2024,06:00,0.95
04-10-2024,07:00,2.17
04-10-2024,08:00,1.87
04-10-2024,09:00,3.91
04-10-2024,10:00,2.95
04-10-2024,11:00,2.3
04-10-2024,12:00,2.76
04-10-2024,13:00,3.65
04-10-2024,14:00,1.68
04-10-2024,15:00,2.95
04-10-2024,16:00,2.24
04-10-2024,17:00,1.71
04-10-2024,18:00,1.97
04-10-2024,19:00,1.96
04-10-2024,20:00,1.36
04-10-2024,21:00,1.18
04-10-2024,22:00,1.11
04-10-2024,23:00,0.62
05-10-2024,00:00,1.09
05-10-2024,01:00,0.66
05-10-2024,02:00,1.47
05-10-2024,03:00,0.88
