floor,06
location,007
type,Plug
DD-MM-YYYY,time,data
29-09-2024,00:00,1.02
29-09-2024,01:00,0.37
29-09-2024,02:00,1.67
29-09-2024,03:00,0.62
29-09-2024,04:00,1.44
29-09-2024,05:00,3.75
29-09-2024,06:00,1.85
29-09-2024,07:00,4.15
29-09-2024,08:00,3.37
29-09-2024,09:00,2.44
29-09-2024,10:00,2.64
29-09-2024,11:00,3.01
29-09-2024,12:00,2.04
29-09-2024,13:00,1.75
29-09-2024,14:00,3.58
29-09-2024,15:00,2.78
29-09-2024,16:00,3.32
29-09-2024,17:00,3.96
29-09-2024,18:00,3.73
29-09-2024,19:00,1.69
29-09-2024,20:00,1.4
29-09-2024,21:00,2.77
29-09-2024,22:00,1.37
29-09-2024,23:00,0.56
30-09-2024,00:00,0
30-09-2024,01:00,2.65
30-09-2024,02:00,1.55
30-09-2024,03:00,0
30-09-2024,04:00,0
30-09-2024,05:00,1.65
30-09-2024,06:00,2.97
30-09-2024,07:00,3.6
30-09-2024,08:00,3.94
30-09-2024,09:00,2.16
30-09-2024,10:00,3.13
30-09-2024,11:00,2.99
30-09-2024,12:00,4.32
30-09-2024,13:00,2.63
30-09-2024,14:00,3.22
30-09-2024,15:00,2.66
30-09-2024,16:00,4.84
30-09-2024,17:00,2.61
30-09-2024,18:00,3.77
30-09-2024,19:00,0
30-09-2024,20:00,2.82
30-09-2024,21:00,0.96
30-09-2024,22:00,0.57
30-09-2024,23:00,1.31
01-10-2024,00:00,0
01-10-2024,01:00,0.68
01-10-2024,02:00,0
01-10-2024,03:00,0.17
01-10-2024,04:00,1.68
01-10-2024,05:00,0
01-10-2024,06:00,2.84
01-10-2024,07:00,3.69
01-10-2024,08:00,3.12
01-10-2024,09:00,3.61
01-10-2024,10:00,4.14
01-10-2024,11:00,4.39
01-10-2024,12:00,2.97
01-10-2024,13:00,2.66
01-10-2024,14:00,2.23
01-10-2024,15:00,3.0
01-10-2024,16:00,3.8
01-10-2024,17:00,2.95
01-10-2024,18:00,1.0
01-10-2024,19:00,1.05
01-10-2024,20:00,0.42
01-10-2024,21:00,1.1
01-10-2024,22:00,1.96
01-10-2024,23:00,0.9
02-10-2024,00:00,0.72
02-10-2024,01:00,2.92
02-10-2024,02:00,0
02-10-2024,03:00,0.09
02-10-2024,04:00,0
02-10-2024,05:00,1.71
02-10-2024,06:00,3.32
02-10-2024,07:00,3.64
02-10-2024,08:00,3.41
02-10-2024,09:00,3.06
02-10-2024,10:00,2.99
02-10-2024,11:00,2.33
02-10-2024,12:00,5
02-10-2024,13:00,2.51
02-10-2024,14:00,4.08
02-10-2024,15:00,2.96
02-10-2024,16:00,3.38
02-10-2024,17:00,2.55
02-10-2024,18:00,3.25
02-10-2024,19:00,1.34
02-10-2024,20:00,-0.0
02-10-2024,21:00,2.28
02-10-2024,22:00,1.83
02-10-2024,23:00,1.01
03-10-2024,00:00,1.19
03-10-2024,01:00,1.36
03-10-2024,02:00,0.28
03-10-2024,03:00,0.51
03-10-2024,04:00,0.64
03-10-2024,05:00,0.64
03-10-2024,06:00,4.32
03-10-2024,07:00,3.35
03-10-2024,08:00,4.58
03-10-2024,09:00,3.55
03-10-2024,10:00,2.4
03-10-2024,11:00,2.8
03-10-2024,12:00,2.32
03-10-2024,13:00,2.51
03-10-2024,14:00,2.31
03-10-2024,15:00,3.25
03-10-2024,16:00,4.24
03-10-2024,17:00,2.18
03-10-2024,18:00,2.52
03-10-2024,19:00,1.86
03-10-2024,20:00,0.52
03-10-2024,21:00,1.26
03-10-2024,22:00,0.87
03-10-2024,23:00,0.5
04-10-2024,00:00,0.78
04-10-2024,01:00,1.69
04-10-2024,02:00,0
04-10-2024,03:00,1.62
04-10-2024,04:00,1.31
04-10-2024,05:00,0.2
04-10-2024,06:00,2.4
04-10-2024,07:00,3.23
04-10-2024,08:00,1.27
04-10-2024,09:00,0.7
04-10-2024,10:00,2.07
04-10-2024,11:00,2.86
04-10-2024,12:00,3.11
04-10-2024,13:00,4.12
04-10-2024,14:00,2.54
04-10-2024,15:00,3.31
04-10-2024,16:00,3.03
04-10-2024,17:00,1.99
04-10-2024,18:00,0.63
04-10-2024,19:00,2.08
04-10-2024,20:00,1.38
04-10-2024,21:00,0.53
04-10-2024,22:00,0
04-10-2024,23:00,1.94
05-10-2024,00:00,0.01
05-10-2024,01:00,0
05-10-2024,02:00,1.39
05-10-2024,03:00,0
05-10-2024,04:00,1.78
05-10-2024,05:00,3.1
05-10-2024,06:00,4.56
05-10-2024,07:00,3.88
05-10-2024,08:00,3.4
05-10-2024,09:00,1.12
05-10-2024,10:00,3.84
05-10-2024,11:00,2.9
05-10-2024,12:00,1.33
05-10-2024,13:00,4.3
05-10-2024,14:00,2.8
05-10-2024,15:00,2.68
05-10-2024,16:00,3.24
05-10-2024,17:00,2.74
05-10-2024,18:00,4.38
05-10-2024,19:00,0.69
05-10-2024,20:00,1.47
05-10-2024,21:00,1.1
05-10-2024,22:00,0
05-10-2024,23:00,0.9
06-10-2024,00:00,1.4
06-10-2024,01:00,1.53
06-10-2024,02:00,0
06-10-2024,03:00,1.41
06-10-2024,04:00,0.52
06-10-2024,05:00,1.45
06-10-2024,06:00,4.46
06-10-2024,07:00,3.19
06-10-2024,08:00,2.61
06-10-2024,09:00,2.93
06-10-2024,10:00,2.7
06-10-2024,11:00,3.24
06-10-2024,12:00,2.47
06-10-2024,13:00,3.76
06-10-2024,14:00,1.82
06-10-2024,15:00,1.31
06-10-2024,16:00,3.29
06-10-2024,17:00,3.28
06-10-2024,18:00,3.27
06-10-2024,19:00,1.58
06-10-2024,20:00,1.78
06-10-2024,21:00,1.01
06-10-2024,22:00,2.16
06-10-2024,23:00,1.26
07-10-2024,00:00,1.13
07-10-2024,01:00,0.64
07-10-2024,02:00,1.25
07-10-2024,03:00,0.87
07-10-2024,04:00,1.54
07-10-2024,05:00,1.8
07-10-2024,06:00,2.34
07-10-2024,07:00,2.23
07-10-2024,08:00,2.3
07-10-2024,09:00,2.63
07-10-2024,10:00,4.89
07-10-2024,11:00,4.02
07-10-2024,12:00,2.18
07-10-2024,13:00,2.48
07-10-2024,14:00,5
07-10-2024,15:00,2.12
07-10-2024,16:00,1.91
07-10-2024,17:00,3.08
07-10-2024,18:00,3.46
07-10-2024,19:00,1.43
07-10-2024,20:00,1.47
07-10-2024,21:00,3.28
07-10-2024,22:00,1.74
07-10-2024,23:00,1.2
08-10-2024,00:00,1.71
08-10-2024,01:00,1.1
08-10-2024,02:00,1.85
08-10-2024,03:00,0.4
08-10-2024,04:00,0
08-10-2024,05:00,0.42
08-10-2024,06:00,3.22
08-10-2024,07:00,2.85
08-10-2024,08:00,2.08
08-10-2024,09:00,3.2
08-10-2024,10:00,3.26
08-10-2024,11:00,3.74
08-10-2024,12:00,4.97
08-10-2024,13:00,2.8
08-10-2024,14:00,2.95
08-10-2024,15:00,2.8
08-10-2024,16:00,2.12
08-10-2024,17:00,3.22
08-10-2024,18:00,2.61
08-10-2024,19:00,0
08-10-2024,20:00,2.12
08-10-2024,21:00,1.24
08-10-2024,22:00,0.39
08-10-2024,23:00,0.66
09-10-2024,00:00,0
09-10-2024,01:00,0.02
09-10-2024,02:00,0
09-10-2024,03:00,1.61
09-10-2024,04:00,0
09-10-2024,05:00,1.01
09-10-2024,06:00,2.52
09-10-2024,07:00,3.52
09-10-2024,08:00,2.72
09-10-2024,09:00,2.25
09-10-2024,10:00,2.68
09-10-2024,11:00,3.29
09-10-2024,12:00,2.5
09-10-2024,13:00,1.68
09-10-2024,14:00,2.23
09-10-2024,15:00,3.18
09-10-2024,16:00,3.7
09-10-2024,17:00,3.09
09-10-2024,18:00,2.86
09-10-2024,19:00,1.5
09-10-2024,20:00,0.88
09-10-2024,21:00,0
09-10-2024,22:00,0.49
09-10-2024,23:00,0
10-10-2024,00:00,1.87
10-10-2024,01:00,1.56
10-10-2024,02:00,0.9
10-10-2024,03:00,1.06
10-10-2024,04:00,0.56
10-10-2024,05:00,2.09
10-10-2024,06:00,3.88
10-10-2024,07:00,2.51
10-10-2024,08:00,3.46
10-10-2024,09:00,3.97
10-10-2024,10:00,3.09
10-10-2024,11:00,4.49
10-10-2024,12:00,1.31
10-10-2024,13:00,3.19
10-10-2024,14:00,2.79
10-10-2024,15:00,3.01
10-10-2024,16:00,2.52
10-10-2024,17:00,2.67
10-10-2024,18:00,2.1
10-10-2024,19:00,0.67
10-10-2024,20:00,1.48
10-10-2024,21:00,0
10-10-2024,22:00,2.15
10-10-2024,23:00,3.19
11-10-2024,00:00,0.78
11-10-2024,01:00,2.05
11-10-2024,02:00,1.49
11-10-2024,03:00,1.55
11-10-2024,04:00,0
11-10-2024,05:00,1.44
11-10-2024,06:00,1.31
11-10-2024,07:00,1.7
11-10-2024,08:00,5
