floor,06
location,002
type,Plug
DD-MM-YYYY,time,data
29-09-2024,00:00,2.71
29-09-2024,01:00,0.08
29-09-2024,02:00,0.87
29-09-2024,03:00,1.56
29-09-2024,04:00,0.6
29-09-2024,05:00,2.24
29-09-2024,06:00,3.07
29-09-2024,07:00,-0.0
29-09-2024,08:00,1.79
29-09-2024,09:00,2.55
29-09-2024,10:00,4.18
29-09-2024,11:00,4.12
29-09-2024,12:00,5
29-09-2024,13:00,2.32
29-09-2024,14:00,1.82
29-09-2024,15:00,4.58
29-09-2024,16:00,3.52
29-09-2024,17:00,3.85
29-09-2024,18:00,1.45
29-09-2024,19:00,1.14
29-09-2024,20:00,1.24
29-09-2024,21:00,0.17
29-09-2024,22:00,0
29-09-2024,23:00,2.35
30-09-2024,00:00,0.54
30-09-2024,01:00,0
30-09-2024,02:00,1.85
30-09-2024,03:00,0.14
30-09-2024,04:00,2.51
30-09-2024,05:00,0.14
30-09-2024,06:00,2.75
30-09-2024,07:00,2.99
30-09-2024,08:00,3.16
30-09-2024,09:00,2.73
30-09-2024,10:00,3.03
30-09-2024,11:00,1.39
30-09-2024,12:00,4.47
30-09-2024,13:00,4.64
30-09-2024,14:00,2.91
30-09-2024,15:00,4.1
30-09-2024,16:00,4.97
30-09-2024,17:00,1.59
30-09-2024,18:00,4.86
30-09-2024,19:00,1.52
30-09-2024,20:00,0.37
30-09-2024,21:00,1.31
30-09-2024,22:00,3.21
30-09-2024,23:00,1.87
01-10-2024,00:00,0.72
01-10-2024,01:00,0.94
01-10-2024,02:00,0
01-10-2024,03:00,0.39
01-10-2024,04:00,2.04
01-10-2024,05:00,0.5
01-10-2024,06:00,4.34
01-10-2024,07:00,3.62
01-10-2024,08:00,4.36
01-10-2024,09:00,3.57
01-10-2024,10:00,2.4
01-10-2024,11:00,5
01-10-2024,12:00,2.35
01-10-2024,13:00,2.37
01-10-2024,14:00,3.85
01-10-2024,15:00,2.81
01-10-2024,16:00,3.29
01-10-2024,17:00,3.56
01-10-2024,18:00,4.11
01-10-2024,19:00,0.5
01-10-2024,20:00,2.06
01-10-2024,21:00,2.6
01-10-2024,22:00,0.26
01-10-2024,23:00,0
02-10-2024,00:00,1.12
02-10-2024,01:00,0.29
02-10-2024,02:00,1.17
02-10-2024,03:00,1.62
02-10-2024,04:00,0
02-10-2024,05:00,0.08
02-10-2024,06:00,2.03
02-10-2024,07:00,2.75
02-10-2024,08:00,3.1
02-10-2024,09:00,4.38
02-10-2024,10:00,2.42
02-10-2024,11:00,2.4
02-10-2024,12:00,2.5
02-10-2024,13:00,2.98
02-10-2024,14:00,2.38
02-10-2024,15:00,1.12
02-10-2024,16:00,4.77
02-10-2024,17:00,5
02-10-2024,18:00,3.75
02-10-2024,19:00,2.43
02-10-2024,20:00,2.07
02-10-2024,21:00,0.34
02-10-2024,22:00,1.85
02-10-2024,23:00,3.29
03-10-2024,00:00,0.25
03-10-2024,01:00,1.58
03-10-2024,02:00,0
03-10-2024,03:00,1.35
03-10-2024,04:00,0.55
03-10-2024,05:00,1.51
03-10-2024,06:00,4.95
03-10-2024,07:00,5
03-10-2024,08:00,2.44
03-10-2024,09:00,3.97
03-10-2024,10:00,3.62
03-10-2024,11:00,5
03-10-2024,12:00,3.73
03-10-2024,13:00,4.01
03-10-2024,14:00,3.26
03-10-2024,15:00,3.63
03-10-2024,16:00,2.85
03-10-2024,17:00,1.16
03-10-2024,18:00,1.73
03-10-2024,19:00,1.37
03-10-2024,20:00,2.53
03-10-2024,21:00,0.41
03-10-2024,22:00,1.79
03-10-2024,23:00,0.01
04-10-2024,00:00,0
04-10-2024,01:00,1.49
04-10-2024,02:00,0
04-10-2024,03:00,0.41
04-10-2024,04:00,2.18
04-10-2024,05:00,0
04-10-2024,06:00,3.42
04-10-2024,07:00,2.27
04-10-2024,08:00,3.17
04-10-2024,09:00,2.11
04-10-2024,10:00,4.55
04-10-2024,11:00,2.58
04-10-2024,12:00,3.1
04-10-2024,13:00,2.88
04-10-2024,14:00,1.71
04-10-2024,15:00,2.38
04-10-2024,16:00,3.99
04-10-2024,17:00,1.33
04-10-2024,18:00,2.12
04-10-2024,19:00,2.51
04-10-2024,20:00,0.99
04-10-2024,21:00,2.06
04-10-2024,22:00,1.08
04-10-2024,23:00,0.87
05-10-2024,00:00,0
05-10-2024,01:00,1.62
05-10-2024,02:00,2.75
05-10-2024,03:00,2.27
05-10-2024,04:00,1.17
05-10-2024,05:00,0
05-10-2024,06:00,2.3
05-10-2024,07:00,2.92
05-10-2024,08:00,3.97
05-10-2024,09:00,4.1
05-10-2024,10:00,3.05
05-10-2024,11:00,5
05-10-2024,12:00,2.03
05-10-2024,13:00,3.37
05-10-2024,14:00,1.97
05-10-2024,15:00,3.05
05-10-2024,16:00,2.46
05-10-2024,17:00,3.5
05-10-2024,18:00,3.06
05-10-2024,19:00,2.18
05-10-2024,20:00,0
05-10-2024,21:00,0.95
05-10-2024,22:00,0.28
05-10-2024,23:00,1.64
06-10-2024,00:00,2.31
06-10-2024,01:00,3.21
06-10-2024,02:00,0.57
06-10-2024,03:00,0.23
06-10-2024,04:00,0.1
06-10-2024,05:00,2.16
06-10-2024,06:00,2.33
06-10-2024,07:00,4.11
06-10-2024,08:00,2.64
06-10-2024,09:00,3.78
06-10-2024,10:00,3.18
06-10-2024,11:00,3.45
06-10-2024,12:00,2.53
06-10-2024,13:00,0.98
06-10-2024,14:00,2.11
06-10-2024,15:00,2.54
06-10-2024,16:00,4.7
06-10-2024,17:00,2.82
06-10-2024,18:00,2.22
06-10-2024,19:00,0.84
06-10-2024,20:00,1.18
06-10-2024,21:00,0
06-10-2024,22:00,0
06-10-2024,23:00,2.11
07-10-2024,00:00,3.69
07-10-2024,01:00,1.38
07-10-2024,02:00,2.13
07-10-2024,03:00,1.29
07-10-2024,04:00,3.08
07-10-2024,05:00,0.82
07-10-2024,06:00,2.03
07-10-2024,07:00,4.63
07-10-2024,08:00,4.53
07-10-2024,09:00,1.61
07-10-2024,10:00,2.31
07-10-2024,11:00,2.83
07-10-2024,12:00,4.12
07-10-2024,13:00,1.94
07-10-2024,14:00,4.16
07-10-2024,15:00,3.46
07-10-2024,16:00,2.16
07-10-2024,17:00,1.58
07-10-2024,18:00,2.4
07-10-2024,19:00,0.18
07-10-2024,20:00,0.16
07-10-2024,21:00,0.49
07-10-2024,22:00,0.73
07-10-2024,23:00,0.61
08-10-2024,00:00,0.18
08-10-2024,01:00,1.92
08-10-2024,02:00,0
08-10-2024,03:00,0.8
08-10-2024,04:00,1.43
08-10-2024,05:00,0
08-10-2024,06:00,4.27
08-10-2024,07:00,3.45
08-10-2024,08:00,2.85
08-10-2024,09:00,4.24
08-10-2024,10:00,2.86
08-10-2024,11:00,2.95
08-10-2024,12:00,4.24
08-10-2024,13:00,3.59
08-10-2024,14:00,4.31
08-10-2024,15:00,2.01
08-10-2024,16:00,2.33
08-10-2024,17:00,2.7
08-10-2024,18:00,1.96
08-10-2024,19:00,0.66
08-10-2024,20:00,1.07
08-10-2024,21:00,0
08-10-2024,22:00,1.12
08-10-2024,23:00,0.66
09-10-2024,00:00,0.53
09-10-2024,01:00,0
09-10-2024,02:00,2.58
09-10-2024,03:00,1.75
09-10-2024,04:00,2.04
09-10-2024,05:00,1.51
09-10-2024,06:00,2.7
09-10-2024,07:00,3.77
09-10-2024,08:00,2.74
09-10-2024,09:00,1.64
09-10-2024,10:00,3.53
09-10-2024,11:00,3.71
09-10-2024,12:00,4.09
09-10-2024,13:00,2.82
09-10-2024,14:00,1.35
09-10-2024,15:00,3.3
09-10-2024,16:00,2.21
09-10-2024,17:00,0.76
09-10-2024,18:00,1.95
09-10-2024,19:00,1.87
09-10-2024,20:00,1.04
09-10-2024,21:00,1.7
09-10-2024,22:00,4.0
09-10-2024,23:00,1.09
10-10-2024,00:00,0
10-10-2024,01:00,2.63
10-10-2024,02:00,1.21
10-10-2024,03:00,0
10-10-2024,04:00,0
10-10-2024,05:00,0
10-10-2024,06:00,3.09
10-10-2024,07:00,4.03
10-10-2024,08:00,3.34
10-10-2024,09:00,2.9
10-10-2024,10:00,1.42
10-10-2024,11:00,5
10-10-2024,12:00,2.97
10-10-2024,13:00,3.0
10-10-2024,14:00,2.25
10-10-2024,15:00,4.19
10-10-2024,16:00,3.72
10-10-2024,17:00,2.85
10-10-2024,18:00,2.85
10-10-2024,19:00,0
10-10-2024,20:00,0.8
10-10-2024,21:00,0
10-10-2024,22:00,0
10-10-2024,23:00,1.18
11-10-2024,00:00,0.66
11-10-2024,01:00,1.05
11-10-2024,02:00,0.86
11-10-2024,03:00,0.94
11-10-2024,04:00,3.05
11-10-2024,05:00,0
11-10-2024,06:00,3.72
11-10-2024,07:00,3.31
11-10-2024,08:00,1.97
11-10-2024,09:00,2.01
11-10-2024,10:00,2.38
11-10-2024,11:00,4.48
11-10-2024,12:00,2.98
11-10-2024,13:00,3.51
11-10-2024,14:00,3.31
11-10-2024,15:00,3.35
11-10-2024,16:00,2.74
11-10-2024,17:00,2.69
11-10-2024,18:00,1.51
11-10-2024,19:00,0.5
11-10-2024,20:00,0
11-10-2024,21:00,0
11-10-2024,22:00,1.91
11-10-2024,23:00,1.35
12-10-2024,00:00,0.65
12-10-2024,01:00,2.76
12-10-2024,02:00,0.76
12-10-2024,03:00,0.94
12-10-2024,04:00,0.99
12-10-2024,05:00,0.93
12-10-2024,06:00,1.78
12-10-2024,07:00,0.25
12-10-2024,08:00,2.06
12-10-2024,09:00,0.7
12-10-2024,10:00,3.21
12-10-2024,11:00,1.75
12-10-2024,12:00,1.78
12-10-2024,13:00,1.07
12-10-2024,14:00,3.66
12-10-2024,15:00,1.32
12-10-2024,16:00,1.71
12-10-2024,17:00,3.41
12-10-2024,18:00,2.84
12-10-2024,19:00,0.0
12-10-2024,20:00,0.16
12-10-2024,21:00,0.57
12-10-2024,22:00,0.77
12-10-2024,23:00,1.45
13-10-2024,00:00,1.11
13-10-2024,01:00,1.97
13-10-2024,02:00,0
13-10-2024,03:00,0
13-10-2024,04:00,0
13-10-2024,05:00,0.4
13-10-2024,06:00,2.99
13-10-2024,07:00,3.8
13-10-2024,08:00,2.24
13-10-2024,09:00,2.32
13-10-2024,10:00,3.5
13-10-2024,11:00,2.14
13-10-2024,12:00,4.11
13-10-2024,13:00,5
13-10-2024,14:00,2.25
13-10-2024,15:00,4.59
13-10-2024,16:00,4.21
13-10-2024,17:00,2.55
13-10-2024,18:00,2.77
13-10-2024,19:00,2.54
13-10-2024,20:00,0
13-10-2024,21:00,2.04
13-10-2024,22:00,2.3
13-10-2024,23:00,1.17
14-10-2024,00:00,0
14-10-2024,01:00,2.3
14-10-2024,02:00,0.83
14-10-2024,03:00,0.21
14-10-2024,04:00,0.12
14-10-2024,05:00,0
14-10-2024,06:00,2.53
14-10-2024,07:00,1.53
14-10-2024,08:00,2.1
14-10-2024,09:00,5
14-10-2024,10:00,2.82
14-10-2024,11:00,2.53
14-10-2024,12:00,0.69
14-10-2024,13:00,2.35
14-10-2024,14:00,2.7
14-10-2024,15:00,1.17
14-10-2024,16:00,3.04
14-10-2024,17:00,2.34
14-10-2024,18:00,2.77
14-10-2024,19:00,2.77
14-10-2024,20:00,0
