floor,05
location,005
type,Plug
DD-MM-YYYY,time,data
29-09-2024,00:00,0.63
29-09-2024,01:00,0.87
29-09-2024,02:00,0.1
29-09-2024,03:00,2.44
29-09-2024,04:00,0.77
29-09-2024,05:00,0.43
29-09-2024,06:00,2.08
29-09-2024,07:00,2.15
29-09-2024,08:00,2.72
29-09-2024,09:00,4.54
29-09-2024,10:00,4.02
29-09-2024,11:00,1.95
29-09-2024,12:00,1.56
29-09-2024,13:00,3.55
29-09-2024,14:00,2.8
29-09-2024,15:00,2.56
29-09-2024,16:00,3.2
29-09-2024,17:00,1.98
29-09-2024,18:00,2.83
29-09-2024,19:00,0.82
29-09-2024,20:00,0
29-09-2024,21:00,0
29-09-2024,22:00,1.07
29-09-2024,23:00,0.15
30-09-2024,00:00,1.56
30-09-2024,01:00,0.87
30-09-2024,02:00,1.26
30-09-2024,03:00,2.28
30-09-2024,04:00,0
30-09-2024,05:00,0.14
30-09-2024,06:00,1.99
30-09-2024,07:00,2.71
30-09-2024,08:00,1.35
30-09-2024,09:00,3.29
30-09-2024,10:00,2.66
30-09-2024,11:00,3.75
30-09-2024,12:00,4.66
30-09-2024,13:00,3.06
30-09-2024,14:00,3.99
30-09-2024,15:00,3.36
30-09-2024,16:00,1.39
30-09-2024,17:00,2.02
30-09-2024,18:00,4.21
30-09-2024,19:00,3.68
30-09-2024,20:00,2.54
30-09-2024,21:00,0.32
30-09-2024,22:00,0.27
30-09-2024,23:00,1.57
01-10-2024,00:00,0.88
01-10-2024,01:00,0.85
01-10-2024,02:00,0.82
01-10-2024,03:00,0.48
01-10-2024,04:00,0
01-10-2024,05:00,1.01
01-10-2024,06:00,3.37
01-10-2024,07:00,2.26
01-10-2024,08:00,2.06
01-10-2024,09:00,1.44
01-10-2024,10:00,2.52
01-10-2024,11:00,3.47
01-10-2024,12:00,3.24
01-10-2024,13:00,2.19
01-10-2024,14:00,2.97
01-10-2024,15:00,2.94
01-10-2024,16:00,3.34
01-10-2024,17:00,3.14
01-10-2024,18:00,1.45
01-10-2024,19:00,0
01-10-2024,20:00,0.21
01-10-2024,21:00,0.41
01-10-2024,22:00,0
01-10-2024,23:00,0
02-10-2024,00:00,1.48
02-10-2024,01:00,0.95
02-10-2024,02:00,0.85
02-10-2024,03:00,0.07
02-10-2024,04:00,1.85
02-10-2024,05:00,2.4
02-10-2024,06:00,2.26
02-10-2024,07:00,2.33
02-10-2024,08:00,3.77
02-10-2024,09:00,3.19
02-10-2024,10:00,3.44
02-10-2024,11:00,2.09
02-10-2024,12:00,2.17
02-10-2024,13:00,3.93
02-10-2024,14:00,3.52
02-10-2024,15:00,3.74
02-10-2024,16:00,1.87
02-10-2024,17:00,3.91
02-10-2024,18:00,3.26
02-10-2024,19:00,1.54
02-10-2024,20:00,1.53
02-10-2024,21:00,1.25
02-10-2024,22:00,2.82
02-10-2024,23:00,0.66
03-10-2024,00:00,0.07
03-10-2024,01:00,2.68
03-10-2024,02:00,0.41
03-10-2024,03:00,0.16
03-10-2024,04:00,0.17
03-10-2024,05:00,2.19
03-10-2024,06:00,1.78
03-10-2024,07:00,3.2
03-10-2024,08:00,2.65
03-10-2024,09:00,4.02
03-10-2024,10:00,2.46
03-10-2024,11:00,3.56
03-10-2024,12:00,2.42
03-10-2024,13:00,5
03-10-2024,14:00,3.41
03-10-2024,15:00,3.13
