floor,04
location,001
type,Plug
DD-MM-YYYY,time,data
29-09-2024,00:00,0
29-09-2024,01:00,1.55
29-09-2024,02:00,0.79
29-09-2024,03:00,1.78
29-09-2024,04:00,0.9
29-09-2024,05:00,0
29-09-2024,06:00,3.02
29-09-2024,07:00,1.73
29-09-2024,08:00,2.51
29-09-2024,09:00,4.13
29-09-2024,10:00,2.48
29-09-2024,11:00,3.1
29-09-2024,12:00,1.04
29-09-2024,13:00,3.95
29-09-2024,14:00,4.27
29-09-2024,15:00,4.05
29-09-2024,16:00,3.04
29-09-2024,17:00,2.97
29-09-2024,18:00,3.23
29-09-2024,19:00,0.78
29-09-2024,20:00,0
29-09-2024,21:00,0.76
29-09-2024,22:00,0.03
29-09-2024,23:00,0
30-09-2024,00:00,3.11
30-09-2024,01:00,1.94
30-09-2024,02:00,1.63
30-09-2024,03:00,1.98
30-09-2024,04:00,0
30-09-2024,05:00,0
30-09-2024,06:00,2.41
30-09-2024,07:00,2.69
30-09-2024,08:00,1.68
30-09-2024,09:00,3.15
30-09-2024,10:00,1.86
30-09-2024,11:00,3.44
30-09-2024,12:00,3.42
30-09-2024,13:00,2.23
30-09-2024,14:00,4.37
30-09-2024,15:00,4.58
30-09-2024,16:00,1.67
30-09-2024,17:00,4.0
30-09-2024,18:00,2.86
30-09-2024,19:00,1.11
30-09-2024,20:00,0.35
30-09-2024,21:00,0.38
30-09-2024,22:00,0.76
30-09-2024,23:00,0.94
01-10-2024,00:00,1.47
01-10-2024,01:00,0.47
01-10-2024,02:00,2.89
01-10-2024,03:00,2.15
01-10-2024,04:00,0.55
01-10-2024,05:00,0
01-10-2024,06:00,2.95
01-10-2024,07:00,4.29
01-10-2024,08:00,2.36
01-10-2024,09:00,3.47
01-10-2024,10:00,3.87
01-10-2024,11:00,0.94
01-10-2024,12:00,2.52
01-10-2024,13:00,2.97
01-10-2024,14:00,3.15
01-10-2024,15:00,3.18
01-10-2024,16:00,3.61
01-10-2024,17:00,3.93
01-10-2024,18:00,3.1
01-10-2024,19:00,0.99
01-10-2024,20:00,1.69
01-10-2024,21:00,0.62
01-10-2024,22:00,0
01-10-2024,23:00,1.43
02-10-2024,00:00,1.59
02-10-2024,01:00,2.72
02-10-2024,02:00,0.43
02-10-2024,03:00,1.29
02-10-2024,04:00,1.98
02-10-2024,05:00,0.33
02-10-2024,06:00,2.62
02-10-2024,07:00,4.11
02-10-2024,08:00,3.34
02-10-2024,09:00,4.13
02-10-2024,10:00,3.8
02-10-2024,11:00,3.64
02-10-2024,12:00,1.68
02-10-2024,13:00,3.23
02-10-2024,14:00,2.98
02-10-2024,15:00,3.32
02-10-2024,16:00,5
02-10-2024,17:00,2.56
02-10-2024,18:00,2.6
02-10-2024,19:00,1.76
02-10-2024,20:00,2.84
02-10-2024,21:00,0.51
02-10-2024,22:00,0.12
02-10-2024,23:00,0
03-10-2024,00:00,1.38
03-10-2024,01:00,0
03-10-2024,02:00,0.58
03-10-2024,03:00,1.06
03-10-2024,04:00,1.9
03-10-2024,05:00,0.14
03-10-2024,06:00,2.93
03-10-2024,07:00,3.79
03-10-2024,08:00,3.4
03-10-2024,09:00,4.12
03-10-2024,10:00,1.32
03-10-2024,11:00,3.87
03-10-2024,12:00,5
03-10-2024,13:00,2.83
03-10-2024,14:00,2.45
03-10-2024,15:00,3.16
03-10-2024,16:00,2.24
03-10-2024,17:00,1.56
03-10-2024,18:00,3.81
03-10-2024,19:00,0.8
03-10-2024,20:00,0
03-10-2024,21:00,1.42
03-10-2024,22:00,0
03-10-2024,23:00,0.13
04-10-2024,00:00,2.04
04-10-2024,01:00,0.73
04-10-2024,02:00,0
04-10-2024,03:00,0.94
04-10-2024,04:00,1.25
04-10-2024,05:00,1.72
04-10-2024,06:00,3.53
04-10-2024,07:00,1.78
04-10-2024,08:00,2.42
04-10-2024,09:00,1.84
04-10-2024,10:00,2.49
04-10-2024,11:00,4.08
04-10-2024,12:00,2.59
04-10-2024,13:00,3.89
04-10-2024,14:00,5
04-10-2024,15:00,2.95
04-10-2024,16:00,2.47
04-10-2024,17:00,2.75
04-10-2024,18:00,2.67
04-10-2024,19:00,0.46
04-10-2024,20:00,0
04-10-2024,21:00,0.33
04-10-2024,22:00,0
04-10-2024,23:00,2.54
05-10-2024,00:00,0.96
05-10-2024,01:00,1.25
05-10-2024,02:00,1.14
05-10-2024,03:00,0.11
05-10-2024,04:00,2.22
05-10-2024,05:00,1.4
05-10-2024,06:00,3.14
05-10-2024,07:00,2.02
05-10-2024,08:00,4.54
05-10-2024,09:00,2.83
05-10-2024,10:00,3.63
05-10-2024,11:00,3.67
05-10-2024,12:00,4.34
05-10-2024,13:00,3.93
05-10-2024,14:00,3.27
05-10-2024,15:00,1.56
05-10-2024,16:00,1.76
05-10-2024,17:00,1.17
05-10-2024,18:00,2.63
05-10-2024,19:00,0
05-10-2024,20:00,0.62
05-10-2024,21:00,0
05-10-2024,22:00,2.66
05-10-2024,23:00,0.59
06-10-2024,00:00,1.27
06-10-2024,01:00,3.53
06-10-2024,02:00,0.94
06-10-2024,03:00,0
06-10-2024,04:00,1.71
06-10-2024,05:00,1.21
06-10-2024,06:00,2.84
06-10-2024,07:00,1.81
06-10-2024,08:00,1.34
06-10-2024,09:00,4.73
06-10-2024,10:00,3.48
06-10-2024,11:00,4.28
06-10-2024,12:00,2.95
06-10-2024,13:00,3.08
06-10-2024,14:00,4.02
06-10-2024,15:00,2.93
06-10-2024,16:00,2.49
06-10-2024,17:00,4.14
06-10-2024,18:00,2.86
06-10-2024,19:00,1.29
06-10-2024,20:00,0
06-10-2024,21:00,0.33
06-10-2024,22:00,2.92
06-10-2024,23:00,0.09
07-10-2024,00:00,1.39
07-10-2024,01:00,1.95
07-10-2024,02:00,0
07-10-2024,03:00,1.03
07-10-2024,04:00,2.61
07-10-2024,05:00,0
07-10-2024,06:00,3.16
07-10-2024,07:00,3.41
07-10-2024,08:00,2.79
07-10-2024,09:00,1.19
07-10-2024,10:00,1.35
07-10-2024,11:00,2.39
07-10-2024,12:00,3.09
07-10-2024,13:00,2.15
07-10-2024,14:00,2.54
07-10-2024,15:00,3.09
07-10-2024,16:00,3.02
07-10-2024,17:00,3.54
07-10-2024,18:00,1.63
07-10-2024,19:00,1.44
07-10-2024,20:00,0.49
07-10-2024,21:00,0.33
07-10-2024,22:00,1.35
07-10-2024,23:00,2.18
08-10-2024,00:00,2.06
08-10-2024,01:00,1.18
08-10-2024,02:00,2.16
08-10-2024,03:00,1.1
08-10-2024,04:00,0.32
08-10-2024,05:00,1.5
08-10-2024,06:00,3.12
08-10-2024,07:00,4.94
08-10-2024,08:00,3.07
08-10-2024,09:00,3.46
08-10-2024,10:00,3.62
08-10-2024,11:00,3.17
08-10-2024,12:00,2.05
08-10-2024,13:00,2.38
08-10-2024,14:00,1.11
08-10-2024,15:00,4.08
08-10-2024,16:00,1.99
08-10-2024,17:00,0.76
08-10-2024,18:00,2.57
08-10-2024,19:00,0.43
08-10-2024,20:00,1.13
08-10-2024,21:00,1.14
08-10-2024,22:00,0
08-10-2024,23:00,0.88
09-10-2024,00:00,1.38
09-10-2024,01:00,0.9
09-10-2024,02:00,0.77
09-10-2024,03:00,0
09-10-2024,04:00,0
09-10-2024,05:00,0
09-10-2024,06:00,3.9
09-10-2024,07:00,2.97
09-10-2024,08:00,3.34
09-10-2024,09:00,3.24
09-10-2024,10:00,4.5
09-10-2024,11:00,2.78
09-10-2024,12:00,4.08
09-10-2024,13:00,3.61
09-10-2024,14:00,3.53
09-10-2024,15:00,3.25
09-10-2024,16:00,3.03
09-10-2024,17:00,2.64
09-10-2024,18:00,2.88
09-10-2024,19:00,0.43
09-10-2024,20:00,0
09-10-2024,21:00,1.04
09-10-2024,22:00,2.0
09-10-2024,23:00,0.48
10-10-2024,00:00,1.53
10-10-2024,01:00,0.39
10-10-2024,02:00,1.19
10-10-2024,03:00,2.32
10-10-2024,04:00,0.22
10-10-2024,05:00,0.91
10-10-2024,06:00,3.63
10-10-2024,07:00,4.79
10-10-2024,08:00,2.42
10-10-2024,09:00,1.79
10-10-2024,10:00,2.5
10-10-2024,11:00,3.01
10-10-2024,12:00,1.99
10-10-2024,13:00,3.48
10-10-2024,14:00,3.16
10-10-2024,15:00,3.15
10-10-2024,16:00,2.86
10-10-2024,17:00,3.17
10-10-2024,18:00,3.58
10-10-2024,19:00,0.32
10-10-2024,20:00,0.82
10-10-2024,21:00,1.58
10-10-2024,22:00,1.56
10-10-2024,23:00,1.68
11-10-2024,00:00,0.96
11-10-2024,01:00,1.88
11-10-2024,02:00,2.92
11-10-2024,03:00,0.88
11-10-2024,04:00,1.85
11-10-2024,05:00,0.73
11-10-2024,06:00,3.67
11-10-2024,07:00,2.79
11-10-2024,08:00,2.99
11-10-2024,09:00,1.03
11-10-2024,10:00,2.69
11-10-2024,11:00,4.01
11-10-2024,12:00,2.17
11-10-2024,13:00,1.38
11-10-2024,14:00,3.18
11-10-2024,15:00,3.35
11-10-2024,16:00,1.89
11-10-2024,17:00,1.73
11-10-2024,18:00,1.81
11-10-2024,19:00,0.85
11-10-2024,20:00,1.76
11-10-2024,21:00,0
11-10-2024,22:00,0.12
11-10-2024,23:00,0
12-10-2024,00:00,2.65
12-10-2024,01:00,2.77
12-10-2024,02:00,0.43
12-10-2024,03:00,0.16
12-10-2024,04:00,1.59
12-10-2024,05:00,0.8
12-10-2024,06:00,3.78
12-10-2024,07:00,4.85
12-10-2024,08:00,4.27
12-10-2024,09:00,3.32
12-10-2024,10:00,4.11
12-10-2024,11:00,2.47
12-10-2024,12:00,2.06
12-10-2024,13:00,2.63
12-10-2024,14:00,2.96
12-10-2024,15:00,2.47
12-10-2024,16:00,2.26
12-10-2024,17:00,2.35
12-10-2024,18:00,3.38
12-10-2024,19:00,1.82
12-10-2024,20:00,1.99
12-10-2024,21:00,0
12-10-2024,22:00,2.15
12-10-2024,23:00,0.98
13-10-2024,00:00,1.7
13-10-2024,01:00,1.15
13-10-2024,02:00,0.58
13-10-2024,03:00,1.76
13-10-2024,04:00,0.59
13-10-2024,05:00,2.23
13-10-2024,06:00,2.28
13-10-2024,07:00,4.17
13-10-2024,08:00,1.68
13-10-2024,09:00,2.68
13-10-2024,10:00,1.78
13-10-2024,11:00,2.32
13-10-2024,12:00,4.16
13-10-2024,13:00,2.31
13-10-2024,14:00,3.26
13-10-2024,15:00,2.25
13-10-2024,16:00,2.22
13-10-2024,17:00,4.52
13-10-2024,18:00,2.56
13-10-2024,19:00,1.42
13-10-2024,20:00,0
13-10-2024,21:00,0.15
13-10-2024,22:00,0
13-10-2024,23:00,1.25
14-10-2024,00:00,1.75
14-10-2024,01:00,0
14-10-2024,02:00,0
14-10-2024,03:00,0
