floor,04
location,008
type,AC2
DD-MM-YYYY,time,data
29-09-2024,00:00,0.49
29-09-2024,01:00,2.33
29-09-2024,02:00,1.86
29-09-2024,03:00,2.15
29-09-2024,04:00,0
29-09-2024,05:00,0
29-09-2024,06:00,3.33
29-09-2024,07:00,1.99
29-09-2024,08:00,2.42
29-09-2024,09:00,2.24
29-09-2024,10:00,1.39
29-09-2024,11:00,1.36
29-09-2024,12:00,3.53
29-09-2024,13:00,3.23
29-09-2024,14:00,4.07
29-09-2024,15:00,3.43
29-09-2024,16:00,3.09
29-09-2024,17:00,2.96
29-09-2024,18:00,2.36
29-09-2024,19:00,1.24
29-09-2024,20:00,1.88
29-09-2024,21:00,0.27
29-09-2024,22:00,0
29-09-2024,23:00,0.91
30-09-2024,00:00,0.09
30-09-2024,01:00,0.21
30-09-2024,02:00,0.8
30-09-2024,03:00,0.7
30-09-2024,04:00,1.6
30-09-2024,05:00,0.06
30-09-2024,06:00,3.67
30-09-2024,07:00,3.16
30-09-2024,08:00,2.73
30-09-2024,09:00,3.67
30-09-2024,10:00,1.24
30-09-2024,11:00,4.07
30-09-2024,12:00,4.24
30-09-2024,13:00,2.43
30-09-2024,14:00,1.59
30-09-2024,15:00,2.66
30-09-2024,16:00,2.9
30-09-2024,17:00,3.03
30-09-2024,18:00,1.58
30-09-2024,19:00,2.61
30-09-2024,20:00,2.6
30-09-2024,21:00,0.91
30-09-2024,22:00,0
30-09-2024,23:00,0.26
01-10-2024,00:00,0
01-10-2024,01:00,1.88
01-10-2024,02:00,1.13
01-10-2024,03:00,1.56
01-10-2024,04:00,0
01-10-2024,05:00,1.83
01-10-2024,06:00,1.82
01-10-2024,07:00,2.2
01-10-2024,08:00,2.89
01-10-2024,09:00,1.94
01-10-2024,10:00,3.18
01-10-2024,11:00,2.18
01-10-2024,12:00,2.44
01-10-2024,13:00,2.14
01-10-2024,14:00,3.0
01-10-2024,15:00,2.34
01-10-2024,16:00,3.22
01-10-2024,17:00,3.79
01-10-2024,18:00,3.52
01-10-2024,19:00,1.55
01-10-2024,20:00,3.05
01-10-2024,21:00,0
01-10-2024,22:00,1.92
01-10-2024,23:00,1.61
02-10-2024,00:00,2.28
02-10-2024,01:00,0.87
02-10-2024,02:00,1.72
02-10-2024,03:00,0.08
02-10-2024,04:00,1.48
02-10-2024,05:00,1.59
02-10-2024,06:00,2.8
02-10-2024,07:00,4.16
02-10-2024,08:00,0.62
02-10-2024,09:00,1.25
02-10-2024,10:00,1.88
02-10-2024,11:00,2.37
02-10-2024,12:00,1.47
02-10-2024,13:00,3.3
02-10-2024,14:00,4.34
02-10-2024,15:00,1.67
02-10-2024,16:00,0.62
02-10-2024,17:00,3.75
02-10-2024,18:00,2.15
02-10-2024,19:00,2.2
02-10-2024,20:00,0
02-10-2024,21:00,1.19
02-10-2024,22:00,1.48
02-10-2024,23:00,0
03-10-2024,00:00,0.44
03-10-2024,01:00,0.51
03-10-2024,02:00,1.12
03-10-2024,03:00,1.72
03-10-2024,04:00,1.73
03-10-2024,05:00,0.55
03-10-2024,06:00,3.1
03-10-2024,07:00,3.48
03-10-2024,08:00,2.86
03-10-2024,09:00,3.77
03-10-2024,10:00,4.03
03-10-2024,11:00,1.65
03-10-2024,12:00,3.96
03-10-2024,13:00,3.41
03-10-2024,14:00,3.92
03-10-2024,15:00,4.76
03-10-2024,16:00,1.31
03-10-2024,17:00,2.71
03-10-2024,18:00,2.84
03-10-2024,19:00,1.86
03-10-2024,20:00,0.01
03-10-2024,21:00,1.82
03-10-2024,22:00,2.61
03-10-2024,23:00,2.56
04-10-2024,00:00,0.96
04-10-2024,01:00,1.92
04-10-2024,02:00,0.51
04-10-2024,03:00,0.28
04-10-2024,04:00,1.44
04-10-2024,05:00,0.28
04-10-2024,06:00,3.07
04-10-2024,07:00,3.08
04-10-2024,08:00,2.93
04-10-2024,09:00,1.71
04-10-2024,10:00,3.49
04-10-2024,11:00,3.67
04-10-2024,12:00,2.47
04-10-2024,13:00,3.6
04-10-2024,14:00,1.82
04-10-2024,15:00,3.83
04-10-2024,16:00,2.3
04-10-2024,17:00,2.3
04-10-2024,18:00,2.5
04-10-2024,19:00,1.56
04-10-2024,20:00,1.9
04-10-2024,21:00,2.51
04-10-2024,22:00,1.91
04-10-2024,23:00,0.78
05-10-2024,00:00,0.78
05-10-2024,01:00,0.7
05-10-2024,02:00,2.83
05-10-2024,03:00,1.67
05-10-2024,04:00,2.75
05-10-2024,05:00,0
05-10-2024,06:00,3.89
05-10-2024,07:00,0.92
05-10-2024,08:00,2.02
05-10-2024,09:00,1.79
05-10-2024,10:00,3.44
05-10-2024,11:00,1.73
05-10-2024,12:00,2.2
05-10-2024,13:00,1.9
05-10-2024,14:00,3.43
05-10-2024,15:00,1.75
05-10-2024,16:00,3.27
05-10-2024,17:00,1.37
05-10-2024,18:00,2.44
05-10-2024,19:00,1.19
05-10-2024,20:00,0
05-10-2024,21:00,1.93
05-10-2024,22:00,0.42
05-10-2024,23:00,1.8
06-10-2024,00:00,1.37
06-10-2024,01:00,0.89
06-10-2024,02:00,1.46
06-10-2024,03:00,4.03
06-10-2024,04:00,0.76
06-10-2024,05:00,1.14
06-10-2024,06:00,1.77
06-10-2024,07:00,3.01
06-10-2024,08:00,2.59
06-10-2024,09:00,3.59
06-10-2024,10:00,4.56
06-10-2024,11:00,3.07
06-10-2024,12:00,5
06-10-2024,13:00,1.71
06-10-2024,14:00,3.36
06-10-2024,15:00,3.68
06-10-2024,16:00,1.8
06-10-2024,17:00,3.71
06-10-2024,18:00,1.75
06-10-2024,19:00,1.93
06-10-2024,20:00,0.14
06-10-2024,21:00,1.6
06-10-2024,22:00,1.1
06-10-2024,23:00,0.47
07-10-2024,00:00,1.96
07-10-2024,01:00,1.0
07-10-2024,02:00,1.85
07-10-2024,03:00,0.15
07-10-2024,04:00,0.52
07-10-2024,05:00,1.41
07-10-2024,06:00,2.68
07-10-2024,07:00,2.71
07-10-2024,08:00,1.33
07-10-2024,09:00,2.77
07-10-2024,10:00,1.22
07-10-2024,11:00,3.43
07-10-2024,12:00,0.98
07-10-2024,13:00,2.6
07-10-2024,14:00,2.99
07-10-2024,15:00,5
07-10-2024,16:00,5
07-10-2024,17:00,2.37
07-10-2024,18:00,3.68
07-10-2024,19:00,0
07-10-2024,20:00,0.23
07-10-2024,21:00,2.03
07-10-2024,22:00,1.23
07-10-2024,23:00,0
08-10-2024,00:00,0.7
08-10-2024,01:00,0
08-10-2024,02:00,1.27
08-10-2024,03:00,3.99
08-10-2024,04:00,2.57
08-10-2024,05:00,2.51
08-10-2024,06:00,1.37
08-10-2024,07:00,2.76
08-10-2024,08:00,4.3
08-10-2024,09:00,2.54
08-10-2024,10:00,2.48
08-10-2024,11:00,4.04
08-10-2024,12:00,3.94
08-10-2024,13:00,3.8
08-10-2024,14:00,2.41
08-10-2024,15:00,2.33
08-10-2024,16:00,3.28
08-10-2024,17:00,3.63
08-10-2024,18:00,2.91
08-10-2024,19:00,0.72
08-10-2024,20:00,2.88
08-10-2024,21:00,3.17
08-10-2024,22:00,1.68
08-10-2024,23:00,0
09-10-2024,00:00,1.99
09-10-2024,01:00,0
09-10-2024,02:00,1.95
09-10-2024,03:00,0
09-10-2024,04:00,2.61
09-10-2024,05:00,0
09-10-2024,06:00,3.6
09-10-2024,07:00,3.53
09-10-2024,08:00,3.09
09-10-2024,09:00,4.2
09-10-2024,10:00,2.73
09-10-2024,11:00,3.09
09-10-2024,12:00,2.42
09-10-2024,13:00,4.13
09-10-2024,14:00,3.85
09-10-2024,15:00,3.58
09-10-2024,16:00,2.31
09-10-2024,17:00,3.03
09-10-2024,18:00,4.03
09-10-2024,19:00,0
09-10-2024,20:00,1.45
09-10-2024,21:00,2.57
09-10-2024,22:00,0.69
09-10-2024,23:00,0
10-10-2024,00:00,2.08
10-10-2024,01:00,0.99
10-10-2024,02:00,2.82
10-10-2024,03:00,1.15
10-10-2024,04:00,2.04
10-10-2024,05:00,0
10-10-2024,06:00,3.93
10-10-2024,07:00,3.76
10-10-2024,08:00,3.19
10-10-2024,09:00,1.7
10-10-2024,10:00,4.45
10-10-2024,11:00,2.9
10-10-2024,12:00,3.02
10-10-2024,13:00,1.34
10-10-2024,14:00,3.64
10-10-2024,15:00,4.25
10-10-2024,16:00,3.59
10-10-2024,17:00,1.72
10-10-2024,18:00,3.62
10-10-2024,19:00,2.41
10-10-2024,20:00,1.39
10-10-2024,21:00,0.51
10-10-2024,22:00,0.52
10-10-2024,23:00,0
11-10-2024,00:00,1.03
11-10-2024,01:00,2.14
11-10-2024,02:00,1.1
11-10-2024,03:00,0.78
11-10-2024,04:00,2.3
11-10-2024,05:00,0.25
11-10-2024,06:00,1.56
11-10-2024,07:00,1.27
11-10-2024,08:00,3.18
11-10-2024,09:00,2.11
11-10-2024,10:00,3.73
11-10-2024,11:00,2.77
11-10-2024,12:00,1.93
11-10-2024,13:00,2.54
11-10-2024,14:00,3.07
11-10-2024,15:00,3.3
11-10-2024,16:00,3.67
11-10-2024,17:00,2.87
11-10-2024,18:00,3.82
11-10-2024,19:00,1.21
11-10-2024,20:00,1.71
11-10-2024,21:00,0.52
11-10-2024,22:00,0.1
11-10-2024,23:00,0.99
12-10-2024,00:00,0.67
12-10-2024,01:00,0
12-10-2024,02:00,2.21
12-10-2024,03:00,1.27
12-10-2024,04:00,2.72
12-10-2024,05:00,0.71
12-10-2024,06:00,1.36
12-10-2024,07:00,3.68
12-10-2024,08:00,3.38
12-10-2024,09:00,3.53
12-10-2024,10:00,5
12-10-2024,11:00,2.43
12-10-2024,12:00,1.33
12-10-2024,13:00,1.63
12-10-2024,14:00,1.95
12-10-2024,15:00,2.46
12-10-2024,16:00,2.15
12-10-2024,17:00,3.55
12-10-2024,18:00,2.83
12-10-2024,19:00,1.55
12-10-2024,20:00,0
12-10-2024,21:00,0.72
12-10-2024,22:00,0.35
12-10-2024,23:00,1.9
13-10-2024,00:00,1.91
13-10-2024,01:00,2.06
13-10-2024,02:00,0.82
13-10-2024,03:00,0.95
13-10-2024,04:00,1.75
13-10-2024,05:00,2.03
13-10-2024,06:00,3.19
13-10-2024,07:00,2.83
13-10-2024,08:00,2.86
13-10-2024,09:00,2.89
13-10-2024,10:00,3.74
13-10-2024,11:00,2.41
13-10-2024,12:00,3.24
13-10-2024,13:00,3.35
13-10-2024,14:00,3.17
13-10-2024,15:00,4.55
13-10-2024,16:00,2.83
13-10-2024,17:00,2.63
13-10-2024,18:00,3.37
13-10-2024,19:00,1.9
13-10-2024,20:00,0
13-10-2024,21:00,1.37
13-10-2024,22:00,1.65
13-10-2024,23:00,0.99
14-10-2024,00:00,0
14-10-2024,01:00,0
14-10-2024,02:00,2.61
14-10-2024,03:00,2.04
14-10-2024,04:00,1.39
14-10-2024,05:00,1.37
14-10-2024,06:00,3.17
14-10-2024,07:00,3.43
14-10-2024,08:00,3.25
14-10-2024,09:00,2.88
14-10-2024,10:00,3.45
14-10-2024,11:00,2.16
14-10-2024,12:00,1.8
14-10-2024,13:00,2.19
14-10-2024,14:00,3.01
14-10-2024,15:00,4.24
14-10-2024,16:00,3.22
14-10-2024,17:00,1.62
14-10-2024,18:00,3.08
14-10-2024,19:00,0.55
14-10-2024,20:00,0
14-10-2024,21:00,0.21
14-10-2024,22:00,1.19
14-10-2024,23:00,1.62
15-10-2024,00:00,0.45
15-10-2024,01:00,1.27
15-10-2024,02:00,0.7
15-10-2024,03:00,0
15-10-2024,04:00,0.44
15-10-2024,05:00,0.49
15-10-2024,06:00,4.83
15-10-2024,07:00,4.46
15-10-2024,08:00,2.47
15-10-2024,09:00,3.13
15-10-2024,10:00,2.38
15-10-2024,11:00,4.58
15-10-2024,12:00,3.45
15-10-2024,13:00,2.06
15-10-2024,14:00,4.81
15-10-2024,15:00,2.31
15-10-2024,16:00,2.76
15-10-2024,17:00,4.99
15-10-2024,18:00,2.19
15-10-2024,19:00,0.84
15-10-2024,20:00,0.43
15-10-2024,21:00,2.31
15-10-2024,22:00,0.49
15-10-2024,23:00,0
16-10-2024,00:00,2.87
16-10-2024,01:00,0
16-10-2024,02:00,0.04
16-10-2024,03:00,2.81
16-10-2024,04:00,1.26
16-10-2024,05:00,0.55
16-10-2024,06:00,3.58
16-10-2024,07:00,2.73
16-10-2024,08:00,2.04
16-10-2024,09:00,2.96
16-10-2024,10:00,3.54
16-10-2024,11:00,4.91
16-10-2024,12:00,3.86
16-10-2024,13:00,3.65
16-10-2024,14:00,3.21
16-10-2024,15:00,4.18
16-10-2024,16:00,4.91
16-10-2024,17:00,1.99
16-10-2024,18:00,1.33
16-10-2024,19:00,1.25
16-10-2024,20:00,0.19
16-10-2024,21:00,2.34
16-10-2024,22:00,1.66
16-10-2024,23:00,1.41
17-10-2024,00:00,1.13
17-10-2024,01:00,0.82
17-10-2024,02:00,1.04
17-10-2024,03:00,1.15
17-10-2024,04:00,0.44
17-10-2024,05:00,0
17-10-2024,06:00,2.5
17-10-2024,07:00,3.74
17-10-2024,08:00,0.8
17-10-2024,09:00,3.49
17-10-2024,10:00,2.59
17-10-2024,11:00,2.11
17-10-2024,12:00,4.48
17-10-2024,13:00,2.72
17-10-2024,14:00,1.31
17-10-2024,15:00,3.97
17-10-2024,16:00,3.84
17-10-2024,17:00,3.11
17-10-2024,18:00,2.14
17-10-2024,19:00,0
17-10-2024,20:00,1.18
17-10-2024,21:00,0.1
17-10-2024,22:00,0
17-10-2024,23:00,0.43
18-10-2024,00:00,1.17
18-10-2024,01:00,0.47
18-10-2024,02:00,1.16
18-10-2024,03:00,1.59
18-10-2024,04:00,1.27
18-10-2024,05:00,0
18-10-2024,06:00,3.93
18-10-2024,07:00,3.15
18-10-2024,08:00,3.93
18-10-2024,09:00,2.75
18-10-2024,10:00,3.21
18-10-2024,11:00,2.53
18-10-2024,12:00,2.89
18-10-2024,13:00,4.25
18-10-2024,14:00,1.81
18-10-2024,15:00,1.8
18-10-2024,16:00,3.4
18-10-2024,17:00,1.78
18-10-2024,18:00,1.85
18-10-2024,19:00,1.63
18-10-2024,20:00,2.25
18-10-2024,21:00,0
18-10-2024,22:00,2.1
18-10-2024,23:00,-0.0
19-10-2024,00:00,1.16
19-10-2024,01:00,0
19-10-2024,02:00,1.2
19-10-2024,03:00,0.83
19-10-2024,04:00,0.66
19-10-2024,05:00,2.72
19-10-2024,06:00,3.55
19-10-2024,07:00,3.85
19-10-2024,08:00,3.27
19-10-2024,09:00,1.35
19-10-2024,10:00,4.29
19-10-2024,11:00,3.25
19-10-2024,12:00,4.57
19-10-2024,13:00,4.19
19-10-2024,14:00,2.93
19-10-2024,15:00,2.62
19-10-2024,16:00,1.46
19-10-2024,17:00,2.43
19-10-2024,18:00,3.18
19-10-2024,19:00,1.03
19-10-2024,20:00,1.77
19-10-2024,21:00,1.23
19-10-2024,22:00,0
19-10-2024,23:00,0.78
20-10-2024,00:00,0.95
20-10-2024,01:00,0.25
20-10-2024,02:00,1.66
20-10-2024,03:00,2.06
20-10-2024,04:00,0.4
20-10-2024,05:00,0
20-10-2024,06:00,3.12
20-10-2024,07:00,1.71
20-10-2024,08:00,3.75
20-10-2024,09:00,2.24
20-10-2024,10:00,3.76
20-10-2024,11:00,3.43
20-10-2024,12:00,2.09
20-10-2024,13:00,2.46
20-10-2024,14:00,3.12
20-10-2024,15:00,4.24
20-10-2024,16:00,4.52
20-10-2024,17:00,3.74
20-10-2024,18:00,3.86
20-10-2024,19:00,1.36
20-10-2024,20:00,0
20-10-2024,21:00,2.02
20-10-2024,22:00,1.35
20-10-2024,23:00,0.67
21-10-2024,00:00,0.2
21-10-2024,01:00,0
21-10-2024,02:00,0.87
21-10-2024,03:00,2.38
21-10-2024,04:00,1.65
21-10-2024,05:00,1.98
21-10-2024,06:00,2.92
21-10-2024,07:00,4.02
21-10-2024,08:00,3.33
21-10-2024,09:00,2.32
21-10-2024,10:00,1.95
21-10-2024,11:00,1.87
21-10-2024,12:00,4.27
21-10-2024,13:00,2.85
21-10-2024,14:00,2.71
21-10-2024,15:00,2.27
21-10-2024,16:00,2.46
21-10-2024,17:00,2.08
21-10-2024,18:00,4.58
21-10-2024,19:00,0.23
21-10-2024,20:00,1.79
21-10-2024,21:00,0.19
21-10-2024,22:00,1.08
21-10-2024,23:00,0
22-10-2024,00:00,0
22-10-2024,01:00,0.17
22-10-2024,02:00,0.76
22-10-2024,03:00,0.47
22-10-2024,04:00,2.17
22-10-2024,05:00,1.33
22-10-2024,06:00,3.34
22-10-2024,07:00,2.75
22-10-2024,08:00,2.43
22-10-2024,09:00,2.22
22-10-2024,10:00,3.29
22-10-2024,11:00,2.0
22-10-2024,12:00,4.03
22-10-2024,13:00,1.06
22-10-2024,14:00,2.3
22-10-2024,15:00,3.47
22-10-2024,16:00,3.45
22-10-2024,17:00,2.97
22-10-2024,18:00,1.7
22-10-2024,19:00,0.14
22-10-2024,20:00,2.0
22-10-2024,21:00,1.35
22-10-2024,22:00,0
22-10-2024,23:00,2.69
23-10-2024,00:00,0.36
23-10-2024,01:00,0
23-10-2024,02:00,0
23-10-2024,03:00,1.0
23-10-2024,04:00,1.65
23-10-2024,05:00,0.93
23-10-2024,06:00,2.58
23-10-2024,07:00,3.09
23-10-2024,08:00,2.92
23-10-2024,09:00,2.8
23-10-2024,10:00,2.73
23-10-2024,11:00,3.33
23-10-2024,12:00,2.03
23-10-2024,13:00,3.66
23-10-2024,14:00,1.99
23-10-2024,15:00,3.36
23-10-2024,16:00,3.41
23-10-2024,17:00,3.16
23-10-2024,18:00,2.8
23-10-2024,19:00,0.77
23-10-2024,20:00,2.55
23-10-2024,21:00,0
23-10-2024,22:00,1.24
23-10-2024,23:00,2.0
24-10-2024,00:00,0
24-10-2024,01:00,0.58
24-10-2024,02:00,0.66
24-10-2024,03:00,0.76
24-10-2024,04:00,1.25
24-10-2024,05:00,1.82
24-10-2024,06:00,2.55
24-10-2024,07:00,0.66
24-10-2024,08:00,1.77
24-10-2024,09:00,3.27
24-10-2024,10:00,2.76
24-10-2024,11:00,2.11
24-10-2024,12:00,3.1
24-10-2024,13:00,3.89
24-10-2024,14:00,1.98
24-10-2024,15:00,3.54
24-10-2024,16:00,3.4
24-10-2024,17:00,3.16
24-10-2024,18:00,3.94
24-10-2024,19:00,1.82
24-10-2024,20:00,1.12
24-10-2024,21:00,0.07
24-10-2024,22:00,1.04
24-10-2024,23:00,1.37
25-10-2024,00:00,0
25-10-2024,01:00,0.86
25-10-2024,02:00,0
25-10-2024,03:00,0
25-10-2024,04:00,1.7
25-10-2024,05:00,1.17
25-10-2024,06:00,4.43
25-10-2024,07:00,2.76
25-10-2024,08:00,1.1
25-10-2024,09:00,3.24
25-10-2024,10:00,2.57
25-10-2024,11:00,1.92
25-10-2024,12:00,3.09
25-10-2024,13:00,3.24
25-10-2024,14:00,3.24
25-10-2024,15:00,1.59
25-10-2024,16:00,3.55
25-10-2024,17:00,2.96
25-10-2024,18:00,4.45
25-10-2024,19:00,2.15
25-10-2024,20:00,0.65
25-10-2024,21:00,1.43
25-10-2024,22:00,2.27
25-10-2024,23:00,0.1
26-10-2024,00:00,0.87
26-10-2024,01:00,0.35
26-10-2024,02:00,0.5
26-10-2024,03:00,0.32
26-10-2024,04:00,0
26-10-2024,05:00,0.84
26-10-2024,06:00,2.87
26-10-2024,07:00,3.54
26-10-2024,08:00,3.01
26-10-2024,09:00,3.43
26-10-2024,10:00,2.07
26-10-2024,11:00,2.24
26-10-2024,12:00,2.44
26-10-2024,13:00,3.72
26-10-2024,14:00,4.14
26-10-2024,15:00,3.28
26-10-2024,16:00,3.65
26-10-2024,17:00,2.38
26-10-2024,18:00,3.78
26-10-2024,19:00,0.18
26-10-2024,20:00,0.69
26-10-2024,21:00,1.51
26-10-2024,22:00,0.97
26-10-2024,23:00,0
27-10-2024,00:00,3.67
27-10-2024,01:00,3.16
27-10-2024,02:00,0.02
27-10-2024,03:00,1.25
27-10-2024,04:00,1.15
27-10-2024,05:00,1.14
27-10-2024,06:00,2.15
27-10-2024,07:00,1.77
27-10-2024,08:00,2.69
27-10-2024,09:00,3.42
27-10-2024,10:00,3.33
27-10-2024,11:00,1.98
27-10-2024,12:00,4.84
27-10-2024,13:00,4.02
27-10-2024,14:00,0.89
27-10-2024,15:00,1.92
27-10-2024,16:00,1.03
27-10-2024,17:00,4.34
27-10-2024,18:00,4.0
27-10-2024,19:00,0.73
