floor,02
location,002
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,1.66
29-09-2024,01:00,1.53
29-09-2024,02:00,2.35
29-09-2024,03:00,1.62
29-09-2024,04:00,0
29-09-2024,05:00,0
29-09-2024,06:00,4.25
29-09-2024,07:00,3.09
29-09-2024,08:00,3.33
29-09-2024,09:00,2.51
29-09-2024,10:00,3.72
29-09-2024,11:00,3.64
29-09-2024,12:00,3.52
29-09-2024,13:00,1.86
29-09-2024,14:00,3.68
29-09-2024,15:00,3.07
29-09-2024,16:00,3.43
29-09-2024,17:00,3.15
29-09-2024,18:00,3.42
29-09-2024,19:00,1.04
29-09-2024,20:00,0.25
29-09-2024,21:00,0.72
29-09-2024,22:00,3.07
29-09-2024,23:00,0.28
30-09-2024,00:00,0
30-09-2024,01:00,2.0
30-09-2024,02:00,0.65
30-09-2024,03:00,0.63
30-09-2024,04:00,1.36
30-09-2024,05:00,1.55
30-09-2024,06:00,2.06
30-09-2024,07:00,2.12
30-09-2024,08:00,3.25
30-09-2024,09:00,2.24
30-09-2024,10:00,4.64
30-09-2024,11:00,2.56
30-09-2024,12:00,3.88
30-09-2024,13:00,3.67
30-09-2024,14:00,2.51
30-09-2024,15:00,3.93
30-09-2024,16:00,3.77
30-09-2024,17:00,2.07
30-09-2024,18:00,3.31
30-09-2024,19:00,0
30-09-2024,20:00,2.06
30-09-2024,21:00,1.72
30-09-2024,22:00,1.71
30-09-2024,23:00,2.02
01-10-2024,00:00,1.27
01-10-2024,01:00,2.0
01-10-2024,02:00,2.04
01-10-2024,03:00,2.0
01-10-2024,04:00,0.45
01-10-2024,05:00,1.65
01-10-2024,06:00,1.62
01-10-2024,07:00,4.26
01-10-2024,08:00,4.15
01-10-2024,09:00,4.08
01-10-2024,10:00,3.6
01-10-2024,11:00,2.52
01-10-2024,12:00,2.86
01-10-2024,13:00,3.85
01-10-2024,14:00,1.85
01-10-2024,15:00,3.61
01-10-2024,16:00,4.63
01-10-2024,17:00,4.5
01-10-2024,18:00,5
01-10-2024,19:00,0.5
01-10-2024,20:00,4.37
01-10-2024,21:00,1.86
01-10-2024,22:00,0
01-10-2024,23:00,1.38
02-10-2024,00:00,0
02-10-2024,01:00,2.6
02-10-2024,02:00,2.03
02-10-2024,03:00,2.21
02-10-2024,04:00,1.03
02-10-2024,05:00,1.13
02-10-2024,06:00,3.31
02-10-2024,07:00,2.78
02-10-2024,08:00,2.32
02-10-2024,09:00,3.05
02-10-2024,10:00,3.64
02-10-2024,11:00,3.42
02-10-2024,12:00,4.57
02-10-2024,13:00,2.55
02-10-2024,14:00,3.73
02-10-2024,15:00,1.39
02-10-2024,16:00,2.7
02-10-2024,17:00,3.25
02-10-2024,18:00,1.51
02-10-2024,19:00,2.89
02-10-2024,20:00,1.88
02-10-2024,21:00,0
02-10-2024,22:00,1.37
02-10-2024,23:00,0
03-10-2024,00:00,2.8
03-10-2024,01:00,2.36
03-10-2024,02:00,1.27
03-10-2024,03:00,0.03
03-10-2024,04:00,0.16
03-10-2024,05:00,1.48
03-10-2024,06:00,4.16
03-10-2024,07:00,1.91
03-10-2024,08:00,1.73
03-10-2024,09:00,2.46
03-10-2024,10:00,2.86
03-10-2024,11:00,5
03-10-2024,12:00,3.55
03-10-2024,13:00,3.38
03-10-2024,14:00,2.57
03-10-2024,15:00,4.12
03-10-2024,16:00,3.49
03-10-2024,17:00,2.78
03-10-2024,18:00,4.88
03-10-2024,19:00,1.44
03-10-2024,20:00,3.63
03-10-2024,21:00,1.92
03-10-2024,22:00,0.64
03-10-2024,23:00,0
04-10-2024,00:00,1.96
04-10-2024,01:00,1.48
04-10-2024,02:00,3.11
04-10-2024,03:00,1.24
04-10-2024,04:00,1.05
04-10-2024,05:00,0.26
04-10-2024,06:00,2.8
04-10-2024,07:00,1.28
04-10-2024,08:00,0.96
04-10-2024,09:00,3.04
04-10-2024,10:00,3.06
04-10-2024,11:00,4.1
04-10-2024,12:00,1.02
04-10-2024,13:00,3.65
04-10-2024,14:00,1.37
04-10-2024,15:00,3.65
04-10-2024,16:00,4.09
04-10-2024,17:00,2.66
04-10-2024,18:00,3.65
04-10-2024,19:00,0.95
04-10-2024,20:00,1.37
04-10-2024,21:00,0.94
04-10-2024,22:00,1.86
04-10-2024,23:00,0.88
05-10-2024,00:00,0.82
05-10-2024,01:00,0
05-10-2024,02:00,2.35
05-10-2024,03:00,0.75
05-10-2024,04:00,0.88
05-10-2024,05:00,0.89
05-10-2024,06:00,4.33
05-10-2024,07:00,3.38
05-10-2024,08:00,3.42
05-10-2024,09:00,2.37
05-10-2024,10:00,3.68
05-10-2024,11:00,1.83
05-10-2024,12:00,2.78
05-10-2024,13:00,2.3
05-10-2024,14:00,2.64
05-10-2024,15:00,3.87
05-10-2024,16:00,3.08
05-10-2024,17:00,2.06
05-10-2024,18:00,3.16
05-10-2024,19:00,1.99
05-10-2024,20:00,2.51
05-10-2024,21:00,2.2
05-10-2024,22:00,2.7
05-10-2024,23:00,1.76
06-10-2024,00:00,0.84
06-10-2024,01:00,1.54
06-10-2024,02:00,0.94
06-10-2024,03:00,1.13
06-10-2024,04:00,0.61
06-10-2024,05:00,0.47
06-10-2024,06:00,4.15
06-10-2024,07:00,2.44
06-10-2024,08:00,2.01
06-10-2024,09:00,3.72
06-10-2024,10:00,4.17
06-10-2024,11:00,2.43
06-10-2024,12:00,1.91
06-10-2024,13:00,3.83
06-10-2024,14:00,3.28
06-10-2024,15:00,4.01
06-10-2024,16:00,2.65
06-10-2024,17:00,1.36
06-10-2024,18:00,3.52
06-10-2024,19:00,0.38
06-10-2024,20:00,0.78
06-10-2024,21:00,1.63
06-10-2024,22:00,0.47
06-10-2024,23:00,0.87
07-10-2024,00:00,1.05
07-10-2024,01:00,2.08
07-10-2024,02:00,1.42
07-10-2024,03:00,0.93
07-10-2024,04:00,1.57
07-10-2024,05:00,1.31
07-10-2024,06:00,2.24
07-10-2024,07:00,3.91
07-10-2024,08:00,2.0
07-10-2024,09:00,3.45
07-10-2024,10:00,3.41
07-10-2024,11:00,3.78
07-10-2024,12:00,3.08
07-10-2024,13:00,2.4
07-10-2024,14:00,2.11
07-10-2024,15:00,2.38
07-10-2024,16:00,3.81
07-10-2024,17:00,3.88
07-10-2024,18:00,3.3
07-10-2024,19:00,1.48
07-10-2024,20:00,1.4
07-10-2024,21:00,2.15
07-10-2024,22:00,1.48
07-10-2024,23:00,0.81
08-10-2024,00:00,3.74
08-10-2024,01:00,0.54
08-10-2024,02:00,2.02
08-10-2024,03:00,2.29
08-10-2024,04:00,0.86
08-10-2024,05:00,1.85
08-10-2024,06:00,5
08-10-2024,07:00,3.56
08-10-2024,08:00,2.95
08-10-2024,09:00,3.19
08-10-2024,10:00,3.9
08-10-2024,11:00,1.78
08-10-2024,12:00,2.62
08-10-2024,13:00,2.7
08-10-2024,14:00,3.15
08-10-2024,15:00,0.88
08-10-2024,16:00,2.95
08-10-2024,17:00,3.69
08-10-2024,18:00,3.71
08-10-2024,19:00,0.53
08-10-2024,20:00,1.19
08-10-2024,21:00,1.54
08-10-2024,22:00,0
08-10-2024,23:00,1.82
09-10-2024,00:00,0.78
09-10-2024,01:00,1.32
09-10-2024,02:00,0
09-10-2024,03:00,1.41
09-10-2024,04:00,0
09-10-2024,05:00,0.57
09-10-2024,06:00,1.76
09-10-2024,07:00,5
09-10-2024,08:00,1.57
09-10-2024,09:00,4.97
09-10-2024,10:00,2.56
09-10-2024,11:00,2.24
09-10-2024,12:00,2.45
09-10-2024,13:00,1.99
09-10-2024,14:00,2.66
09-10-2024,15:00,4.33
09-10-2024,16:00,5
09-10-2024,17:00,1.47
09-10-2024,18:00,2.98
09-10-2024,19:00,1.24
09-10-2024,20:00,0.15
09-10-2024,21:00,0.71
09-10-2024,22:00,0
09-10-2024,23:00,1.45
10-10-2024,00:00,0.43
10-10-2024,01:00,1.56
10-10-2024,02:00,1.23
10-10-2024,03:00,1.79
10-10-2024,04:00,1.75
10-10-2024,05:00,1.92
10-10-2024,06:00,3.66
10-10-2024,07:00,2.75
10-10-2024,08:00,2.04
10-10-2024,09:00,4.01
10-10-2024,10:00,3.86
10-10-2024,11:00,2.91
10-10-2024,12:00,4.89
10-10-2024,13:00,3.75
10-10-2024,14:00,1.97
10-10-2024,15:00,5
10-10-2024,16:00,2.07
10-10-2024,17:00,1.3
10-10-2024,18:00,0.78
10-10-2024,19:00,0.77
10-10-2024,20:00,1.61
10-10-2024,21:00,0.66
10-10-2024,22:00,0.03
10-10-2024,23:00,1.48
11-10-2024,00:00,0
11-10-2024,01:00,1.11
11-10-2024,02:00,1.81
