floor,02
location,006
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,2.38
29-09-2024,01:00,0.94
29-09-2024,02:00,1.75
29-09-2024,03:00,0
29-09-2024,04:00,1.01
29-09-2024,05:00,1.72
29-09-2024,06:00,4.59
29-09-2024,07:00,3.16
29-09-2024,08:00,1.89
29-09-2024,09:00,0.81
29-09-2024,10:00,3.41
29-09-2024,11:00,2.16
29-09-2024,12:00,2.26
29-09-2024,13:00,1.91
29-09-2024,14:00,2.66
29-09-2024,15:00,3.88
29-09-2024,16:00,3.44
29-09-2024,17:00,2.08
29-09-2024,18:00,4.11
29-09-2024,19:00,1.13
29-09-2024,20:00,0.62
29-09-2024,21:00,0.66
29-09-2024,22:00,0.94
29-09-2024,23:00,0.43
30-09-2024,00:00,0.47
30-09-2024,01:00,2.41
30-09-2024,02:00,1.4
30-09-2024,03:00,3.5
30-09-2024,04:00,1.51
30-09-2024,05:00,3.0
30-09-2024,06:00,2.69
30-09-2024,07:00,2.14
30-09-2024,08:00,2.08
30-09-2024,09:00,4.7
30-09-2024,10:00,4.47
30-09-2024,11:00,3.45
30-09-2024,12:00,3.52
30-09-2024,13:00,4.83
30-09-2024,14:00,4.14
30-09-2024,15:00,2.34
30-09-2024,16:00,3.16
30-09-2024,17:00,3.03
30-09-2024,18:00,1.72
30-09-2024,19:00,2.49
30-09-2024,20:00,0.93
30-09-2024,21:00,0.87
30-09-2024,22:00,0.7
30-09-2024,23:00,0.83
01-10-2024,00:00,1.67
01-10-2024,01:00,0.03
01-10-2024,02:00,2.52
01-10-2024,03:00,0.06
01-10-2024,04:00,0
01-10-2024,05:00,0.84
01-10-2024,06:00,2.66
01-10-2024,07:00,2.03
01-10-2024,08:00,4.27
01-10-2024,09:00,3.35
01-10-2024,10:00,3.83
01-10-2024,11:00,4.31
01-10-2024,12:00,4.2
01-10-2024,13:00,3.57
01-10-2024,14:00,2.95
01-10-2024,15:00,3.12
01-10-2024,16:00,4.03
01-10-2024,17:00,1.47
01-10-2024,18:00,0.71
01-10-2024,19:00,1.27
01-10-2024,20:00,1.17
01-10-2024,21:00,0
01-10-2024,22:00,0.25
01-10-2024,23:00,3.34
02-10-2024,00:00,0.56
02-10-2024,01:00,2.1
02-10-2024,02:00,1.22
02-10-2024,03:00,2.48
02-10-2024,04:00,2.07
02-10-2024,05:00,1.6
02-10-2024,06:00,1.3
02-10-2024,07:00,3.22
02-10-2024,08:00,4.41
02-10-2024,09:00,2.53
02-10-2024,10:00,3.11
02-10-2024,11:00,4.32
02-10-2024,12:00,5
02-10-2024,13:00,2.87
02-10-2024,14:00,3.58
02-10-2024,15:00,2.06
02-10-2024,16:00,3.45
02-10-2024,17:00,1.52
02-10-2024,18:00,4.41
02-10-2024,19:00,0.6
02-10-2024,20:00,1.07
02-10-2024,21:00,1.91
02-10-2024,22:00,1.85
02-10-2024,23:00,0.08
03-10-2024,00:00,0
03-10-2024,01:00,1.61
03-10-2024,02:00,1.06
03-10-2024,03:00,1.94
03-10-2024,04:00,1.59
03-10-2024,05:00,0
03-10-2024,06:00,1.99
03-10-2024,07:00,2.69
03-10-2024,08:00,2.56
03-10-2024,09:00,2.76
03-10-2024,10:00,1.75
03-10-2024,11:00,2.32
03-10-2024,12:00,2.09
03-10-2024,13:00,4.8
03-10-2024,14:00,3.37
03-10-2024,15:00,1.71
03-10-2024,16:00,3.49
03-10-2024,17:00,2.08
03-10-2024,18:00,2.98
03-10-2024,19:00,0
03-10-2024,20:00,0
03-10-2024,21:00,1.04
03-10-2024,22:00,0.01
03-10-2024,23:00,0
04-10-2024,00:00,1.37
04-10-2024,01:00,0.49
04-10-2024,02:00,0.35
04-10-2024,03:00,0.53
04-10-2024,04:00,0
04-10-2024,05:00,0.55
04-10-2024,06:00,2.07
04-10-2024,07:00,2.13
04-10-2024,08:00,2.31
04-10-2024,09:00,1.93
04-10-2024,10:00,4.0
04-10-2024,11:00,3.63
04-10-2024,12:00,3.95
04-10-2024,13:00,3.03
04-10-2024,14:00,2.96
04-10-2024,15:00,2.61
04-10-2024,16:00,4.82
04-10-2024,17:00,2.74
04-10-2024,18:00,2.36
04-10-2024,19:00,1.89
04-10-2024,20:00,1.77
04-10-2024,21:00,0
04-10-2024,22:00,2.8
04-10-2024,23:00,0.83
05-10-2024,00:00,1.9
05-10-2024,01:00,1.7
05-10-2024,02:00,0
05-10-2024,03:00,0.01
05-10-2024,04:00,0.78
05-10-2024,05:00,-0.0
05-10-2024,06:00,4.48
05-10-2024,07:00,2.33
05-10-2024,08:00,2.94
05-10-2024,09:00,2.5
05-10-2024,10:00,1.77
05-10-2024,11:00,5
05-10-2024,12:00,3.56
05-10-2024,13:00,1.78
05-10-2024,14:00,2.15
05-10-2024,15:00,2.49
05-10-2024,16:00,2.59
05-10-2024,17:00,2.87
05-10-2024,18:00,3.23
05-10-2024,19:00,1.26
05-10-2024,20:00,1.97
05-10-2024,21:00,3.07
05-10-2024,22:00,1.23
05-10-2024,23:00,1.9
06-10-2024,00:00,0
06-10-2024,01:00,0.78
06-10-2024,02:00,0
06-10-2024,03:00,1.41
06-10-2024,04:00,1.76
06-10-2024,05:00,0.72
06-10-2024,06:00,3.65
06-10-2024,07:00,2.86
06-10-2024,08:00,2.07
06-10-2024,09:00,2.28
06-10-2024,10:00,4.04
06-10-2024,11:00,2.36
06-10-2024,12:00,2.7
06-10-2024,13:00,3.64
06-10-2024,14:00,3.05
06-10-2024,15:00,1.94
06-10-2024,16:00,3.42
06-10-2024,17:00,4.02
06-10-2024,18:00,3.54
06-10-2024,19:00,2.0
06-10-2024,20:00,2.3
06-10-2024,21:00,0.66
06-10-2024,22:00,2.03
06-10-2024,23:00,0.08
07-10-2024,00:00,2.19
07-10-2024,01:00,0.58
07-10-2024,02:00,1.39
07-10-2024,03:00,1.1
07-10-2024,04:00,0.66
07-10-2024,05:00,0
07-10-2024,06:00,2.84
07-10-2024,07:00,3.31
07-10-2024,08:00,2.25
07-10-2024,09:00,2.78
07-10-2024,10:00,4.39
07-10-2024,11:00,4.88
07-10-2024,12:00,1.72
07-10-2024,13:00,4.26
07-10-2024,14:00,2.61
07-10-2024,15:00,1.15
07-10-2024,16:00,2.51
07-10-2024,17:00,3.76
07-10-2024,18:00,0
07-10-2024,19:00,0.62
07-10-2024,20:00,1.19
07-10-2024,21:00,0.49
07-10-2024,22:00,1.65
07-10-2024,23:00,0.26
08-10-2024,00:00,1.8
08-10-2024,01:00,1.02
08-10-2024,02:00,1.43
08-10-2024,03:00,0.96
