floor,05
location,001
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,0.85
29-09-2024,01:00,2.64
29-09-2024,02:00,1.04
29-09-2024,03:00,0.7
29-09-2024,04:00,0.61
29-09-2024,05:00,1.1
29-09-2024,06:00,2.73
29-09-2024,07:00,4.71
29-09-2024,08:00,2.93
29-09-2024,09:00,3.51
29-09-2024,10:00,5
29-09-2024,11:00,4.1
29-09-2024,12:00,2.94
29-09-2024,13:00,4.87
29-09-2024,14:00,3.2
29-09-2024,15:00,1.09
29-09-2024,16:00,3.13
29-09-2024,17:00,3.49
29-09-2024,18:00,3.0
29-09-2024,19:00,0.96
29-09-2024,20:00,0
29-09-2024,21:00,2.43
29-09-2024,22:00,0.94
29-09-2024,23:00,0.47
30-09-2024,00:00,1.12
30-09-2024,01:00,0
30-09-2024,02:00,1.16
30-09-2024,03:00,3.07
30-09-2024,04:00,0.37
30-09-2024,05:00,0.57
30-09-2024,06:00,3.01
30-09-2024,07:00,2.11
30-09-2024,08:00,2.66
30-09-2024,09:00,2.17
30-09-2024,10:00,2.6
30-09-2024,11:00,2.97
30-09-2024,12:00,3.46
30-09-2024,13:00,4.65
30-09-2024,14:00,3.96
30-09-2024,15:00,1.93
30-09-2024,16:00,2.99
30-09-2024,17:00,3.35
30-09-2024,18:00,5
30-09-2024,19:00,0.75
30-09-2024,20:00,0
30-09-2024,21:00,0.46
30-09-2024,22:00,0
30-09-2024,23:00,0
01-10-2024,00:00,1.98
01-10-2024,01:00,1.99
01-10-2024,02:00,1.27
01-10-2024,03:00,0.95
01-10-2024,04:00,0
01-10-2024,05:00,0.98
01-10-2024,06:00,2.26
01-10-2024,07:00,2.89
01-10-2024,08:00,2.95
01-10-2024,09:00,3.38
01-10-2024,10:00,2.19
01-10-2024,11:00,4.71
01-10-2024,12:00,2.02
01-10-2024,13:00,3.39
01-10-2024,14:00,2.15
01-10-2024,15:00,3.72
01-10-2024,16:00,5
01-10-2024,17:00,2.25
01-10-2024,18:00,2.49
01-10-2024,19:00,0
01-10-2024,20:00,1.0
01-10-2024,21:00,0.36
01-10-2024,22:00,1.24
01-10-2024,23:00,0.59
02-10-2024,00:00,0.12
02-10-2024,01:00,1.61
02-10-2024,02:00,2.45
02-10-2024,03:00,0.89
02-10-2024,04:00,0
02-10-2024,05:00,1.8
02-10-2024,06:00,2.03
02-10-2024,07:00,3.28
02-10-2024,08:00,1.94
02-10-2024,09:00,4.02
02-10-2024,10:00,4.17
02-10-2024,11:00,3.14
02-10-2024,12:00,3.3
02-10-2024,13:00,2.77
02-10-2024,14:00,1.83
02-10-2024,15:00,2.7
02-10-2024,16:00,3.59
02-10-2024,17:00,2.59
02-10-2024,18:00,3.84
02-10-2024,19:00,1.79
02-10-2024,20:00,0.1
02-10-2024,21:00,0.23
02-10-2024,22:00,0.35
02-10-2024,23:00,0.87
03-10-2024,00:00,2.29
03-10-2024,01:00,1.32
03-10-2024,02:00,1.83
03-10-2024,03:00,1.11
03-10-2024,04:00,0.21
03-10-2024,05:00,2.86
03-10-2024,06:00,2.45
03-10-2024,07:00,3.63
03-10-2024,08:00,3.4
03-10-2024,09:00,3.5
03-10-2024,10:00,3.12
03-10-2024,11:00,1.73
03-10-2024,12:00,2.58
03-10-2024,13:00,2.25
03-10-2024,14:00,2.23
03-10-2024,15:00,2.22
03-10-2024,16:00,1.98
03-10-2024,17:00,3.45
03-10-2024,18:00,1.61
03-10-2024,19:00,1.21
03-10-2024,20:00,1.47
03-10-2024,21:00,1.3
03-10-2024,22:00,0
03-10-2024,23:00,0.32
04-10-2024,00:00,0
04-10-2024,01:00,0.25
04-10-2024,02:00,1.96
04-10-2024,03:00,1.72
04-10-2024,04:00,1.36
04-10-2024,05:00,0.7
04-10-2024,06:00,2.96
04-10-2024,07:00,3.35
04-10-2024,08:00,2.26
04-10-2024,09:00,2.66
04-10-2024,10:00,1.57
04-10-2024,11:00,3.21
04-10-2024,12:00,4.68
04-10-2024,13:00,3.24
04-10-2024,14:00,4.01
04-10-2024,15:00,3.61
04-10-2024,16:00,2.22
04-10-2024,17:00,2.0
