floor,08
location,001
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,1.98
29-09-2024,01:00,0.8
29-09-2024,02:00,0
29-09-2024,03:00,2.88
29-09-2024,04:00,0.19
29-09-2024,05:00,1.05
29-09-2024,06:00,2.99
29-09-2024,07:00,2.38
29-09-2024,08:00,2.57
29-09-2024,09:00,3.59
29-09-2024,10:00,2.63
29-09-2024,11:00,3.1
29-09-2024,12:00,3.59
29-09-2024,13:00,4.46
29-09-2024,14:00,3.37
29-09-2024,15:00,2.94
29-09-2024,16:00,2.1
29-09-2024,17:00,2.53
29-09-2024,18:00,2.44
29-09-2024,19:00,0.16
29-09-2024,20:00,0.15
29-09-2024,21:00,0.63
29-09-2024,22:00,1.82
29-09-2024,23:00,2.26
30-09-2024,00:00,1.71
30-09-2024,01:00,1.74
30-09-2024,02:00,0
30-09-2024,03:00,1.25
30-09-2024,04:00,1.13
30-09-2024,05:00,3.01
30-09-2024,06:00,1.96
30-09-2024,07:00,1.53
30-09-2024,08:00,3.26
30-09-2024,09:00,1.29
30-09-2024,10:00,3.37
30-09-2024,11:00,2.35
30-09-2024,12:00,2.41
30-09-2024,13:00,3.01
30-09-2024,14:00,2.83
30-09-2024,15:00,3.56
30-09-2024,16:00,2.61
30-09-2024,17:00,2.83
30-09-2024,18:00,1.77
30-09-2024,19:00,0.7
30-09-2024,20:00,2.76
30-09-2024,21:00,0
30-09-2024,22:00,0
30-09-2024,23:00,0
01-10-2024,00:00,0
01-10-2024,01:00,2.34
01-10-2024,02:00,2.3
01-10-2024,03:00,1.7
01-10-2024,04:00,1.07
01-10-2024,05:00,2.02
01-10-2024,06:00,2.82
01-10-2024,07:00,1.37
01-10-2024,08:00,2.58
01-10-2024,09:00,1.64
01-10-2024,10:00,1.93
01-10-2024,11:00,4.16
01-10-2024,12:00,2.29
01-10-2024,13:00,3.35
01-10-2024,14:00,2.41
01-10-2024,15:00,2.6
01-10-2024,16:00,2.07
01-10-2024,17:00,3.38
01-10-2024,18:00,4.84
01-10-2024,19:00,0
01-10-2024,20:00,0.07
01-10-2024,21:00,1.3
01-10-2024,22:00,0
01-10-2024,23:00,0.87
02-10-2024,00:00,1.54
02-10-2024,01:00,1.05
02-10-2024,02:00,2.29
02-10-2024,03:00,0.85
02-10-2024,04:00,0
02-10-2024,05:00,0.16
02-10-2024,06:00,3.75
02-10-2024,07:00,4.56
02-10-2024,08:00,2.71
02-10-2024,09:00,2.99
02-10-2024,10:00,1.95
02-10-2024,11:00,2.71
02-10-2024,12:00,3.41
02-10-2024,13:00,1.94
02-10-2024,14:00,4.32
02-10-2024,15:00,3.12
02-10-2024,16:00,2.08
02-10-2024,17:00,2.26
02-10-2024,18:00,2.26
02-10-2024,19:00,1.11
02-10-2024,20:00,2.32
02-10-2024,21:00,0.85
02-10-2024,22:00,0.49
02-10-2024,23:00,1.45
03-10-2024,00:00,2.85
03-10-2024,01:00,0.74
03-10-2024,02:00,0.7
03-10-2024,03:00,1.13
03-10-2024,04:00,1.77
03-10-2024,05:00,2.31
03-10-2024,06:00,2.67
03-10-2024,07:00,2.17
03-10-2024,08:00,4.28
03-10-2024,09:00,4.5
03-10-2024,10:00,3.26
03-10-2024,11:00,3.04
03-10-2024,12:00,3.98
03-10-2024,13:00,1.85
03-10-2024,14:00,3.36
03-10-2024,15:00,1.71
03-10-2024,16:00,2.91
03-10-2024,17:00,4.74
03-10-2024,18:00,3.88
03-10-2024,19:00,0.68
03-10-2024,20:00,0.75
03-10-2024,21:00,2.01
03-10-2024,22:00,1.53
03-10-2024,23:00,0.16
04-10-2024,00:00,0.03
04-10-2024,01:00,0.35
04-10-2024,02:00,0.06
04-10-2024,03:00,1.32
04-10-2024,04:00,2.18
04-10-2024,05:00,1.13
04-10-2024,06:00,2.58
04-10-2024,07:00,2.39
04-10-2024,08:00,3.94
04-10-2024,09:00,4.39
04-10-2024,10:00,1.51
04-10-2024,11:00,2.5
04-10-2024,12:00,2.45
04-10-2024,13:00,1.63
04-10-2024,14:00,2.62
04-10-2024,15:00,3.28
04-10-2024,16:00,2.4
04-10-2024,17:00,4.23
04-10-2024,18:00,1.82
04-10-2024,19:00,0.76
04-10-2024,20:00,3.21
04-10-2024,21:00,0
04-10-2024,22:00,1.15
04-10-2024,23:00,0.44
05-10-2024,00:00,0
05-10-2024,01:00,1.07
05-10-2024,02:00,0.89
05-10-2024,03:00,0.01
05-10-2024,04:00,1.61
05-10-2024,05:00,2.1
05-10-2024,06:00,3.09
05-10-2024,07:00,3.53
05-10-2024,08:00,4.85
05-10-2024,09:00,2.56
05-10-2024,10:00,1.48
05-10-2024,11:00,3.45
05-10-2024,12:00,3.49
05-10-2024,13:00,3.9
05-10-2024,14:00,2.66
05-10-2024,15:00,4.09
05-10-2024,16:00,2.17
05-10-2024,17:00,2.21
05-10-2024,18:00,3.39
05-10-2024,19:00,2.09
05-10-2024,20:00,1.47
05-10-2024,21:00,0
05-10-2024,22:00,0.94
05-10-2024,23:00,2.41
06-10-2024,00:00,0
06-10-2024,01:00,0.74
06-10-2024,02:00,0
06-10-2024,03:00,1.48
06-10-2024,04:00,0
06-10-2024,05:00,0.52
06-10-2024,06:00,2.68
06-10-2024,07:00,1.84
06-10-2024,08:00,4.34
06-10-2024,09:00,2.17
06-10-2024,10:00,3.65
06-10-2024,11:00,2.28
06-10-2024,12:00,4.16
06-10-2024,13:00,3.91
06-10-2024,14:00,3.33
06-10-2024,15:00,4.89
06-10-2024,16:00,3.87
06-10-2024,17:00,3.76
06-10-2024,18:00,3.79
06-10-2024,19:00,0
06-10-2024,20:00,0.91
06-10-2024,21:00,0.81
06-10-2024,22:00,0.76
06-10-2024,23:00,1.8
07-10-2024,00:00,1.49
07-10-2024,01:00,0.83
07-10-2024,02:00,0
07-10-2024,03:00,0.44
07-10-2024,04:00,0
07-10-2024,05:00,0.52
07-10-2024,06:00,2.39
07-10-2024,07:00,2.88
07-10-2024,08:00,4.07
07-10-2024,09:00,3.44
07-10-2024,10:00,1.73
07-10-2024,11:00,1.92
07-10-2024,12:00,4.34
07-10-2024,13:00,3.19
07-10-2024,14:00,1.7
07-10-2024,15:00,2.06
07-10-2024,16:00,0.17
07-10-2024,17:00,2.87
07-10-2024,18:00,2.26
07-10-2024,19:00,2.29
07-10-2024,20:00,0.48
07-10-2024,21:00,0
07-10-2024,22:00,1.16
07-10-2024,23:00,1.94
08-10-2024,00:00,0.36
08-10-2024,01:00,0
08-10-2024,02:00,2.51
08-10-2024,03:00,1.64
08-10-2024,04:00,0
08-10-2024,05:00,1.32
08-10-2024,06:00,4.46
08-10-2024,07:00,2.64
08-10-2024,08:00,4.57
08-10-2024,09:00,2.47
08-10-2024,10:00,3.52
08-10-2024,11:00,4.87
08-10-2024,12:00,3.9
08-10-2024,13:00,3.43
08-10-2024,14:00,2.65
08-10-2024,15:00,3.73
08-10-2024,16:00,3.22
08-10-2024,17:00,3.86
08-10-2024,18:00,2.41
08-10-2024,19:00,0.67
08-10-2024,20:00,1.09
08-10-2024,21:00,0.8
08-10-2024,22:00,3.0
08-10-2024,23:00,0.89
09-10-2024,00:00,1.44
09-10-2024,01:00,3.54
09-10-2024,02:00,0
09-10-2024,03:00,1.15
09-10-2024,04:00,0.88
09-10-2024,05:00,2.7
09-10-2024,06:00,2.68
09-10-2024,07:00,4.14
09-10-2024,08:00,4.16
09-10-2024,09:00,2.85
09-10-2024,10:00,5
09-10-2024,11:00,1.45
09-10-2024,12:00,0.59
09-10-2024,13:00,4.15
09-10-2024,14:00,4.52
09-10-2024,15:00,2.14
09-10-2024,16:00,1.55
09-10-2024,17:00,2.19
09-10-2024,18:00,4.16
09-10-2024,19:00,0.19
09-10-2024,20:00,1.15
09-10-2024,21:00,0
09-10-2024,22:00,0.4
09-10-2024,23:00,1.28
10-10-2024,00:00,0.84
10-10-2024,01:00,0
10-10-2024,02:00,0.95
10-10-2024,03:00,2.19
10-10-2024,04:00,2.46
10-10-2024,05:00,0.99
10-10-2024,06:00,2.78
10-10-2024,07:00,2.98
10-10-2024,08:00,3.7
10-10-2024,09:00,3.88
10-10-2024,10:00,2.22
10-10-2024,11:00,3.1
10-10-2024,12:00,2.25
10-10-2024,13:00,2.32
10-10-2024,14:00,4.57
10-10-2024,15:00,2.72
10-10-2024,16:00,1.6
10-10-2024,17:00,3.4
10-10-2024,18:00,0.89
10-10-2024,19:00,1.94
10-10-2024,20:00,1.71
10-10-2024,21:00,1.23
10-10-2024,22:00,0
10-10-2024,23:00,0
11-10-2024,00:00,1.75
11-10-2024,01:00,0.63
11-10-2024,02:00,1.45
11-10-2024,03:00,0.17
11-10-2024,04:00,1.47
