floor,02
location,002
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,3.16
29-09-2024,01:00,0
29-09-2024,02:00,0.27
29-09-2024,03:00,0.39
29-09-2024,04:00,1.14
29-09-2024,05:00,1.0
29-09-2024,06:00,2.99
29-09-2024,07:00,3.35
29-09-2024,08:00,3.9
29-09-2024,09:00,2.26
29-09-2024,10:00,4.52
29-09-2024,11:00,2.74
29-09-2024,12:00,3.52
29-09-2024,13:00,2.53
29-09-2024,14:00,3.27
29-09-2024,15:00,4.27
29-09-2024,16:00,2.72
29-09-2024,17:00,1.93
29-09-2024,18:00,5
29-09-2024,19:00,1.36
29-09-2024,20:00,0.06
29-09-2024,21:00,1.85
29-09-2024,22:00,1.58
29-09-2024,23:00,0.27
30-09-2024,00:00,3.05
30-09-2024,01:00,0.44
30-09-2024,02:00,0
30-09-2024,03:00,0.16
30-09-2024,04:00,0.85
30-09-2024,05:00,0.29
30-09-2024,06:00,1.53
30-09-2024,07:00,3.78
30-09-2024,08:00,4.15
30-09-2024,09:00,2.87
30-09-2024,10:00,4.3
30-09-2024,11:00,3.82
30-09-2024,12:00,3.52
30-09-2024,13:00,3.23
30-09-2024,14:00,3.1
30-09-2024,15:00,2.45
30-09-2024,16:00,1.77
30-09-2024,17:00,3.25
30-09-2024,18:00,2.99
30-09-2024,19:00,0
30-09-2024,20:00,0.77
30-09-2024,21:00,0
30-09-2024,22:00,1.29
30-09-2024,23:00,3.4
01-10-2024,00:00,0.7
01-10-2024,01:00,0.43
01-10-2024,02:00,0.39
01-10-2024,03:00,1.62
01-10-2024,04:00,1.68
01-10-2024,05:00,1.09
01-10-2024,06:00,3.79
01-10-2024,07:00,2.57
01-10-2024,08:00,4.46
01-10-2024,09:00,4.37
01-10-2024,10:00,2.61
01-10-2024,11:00,3.7
01-10-2024,12:00,2.46
01-10-2024,13:00,3.11
01-10-2024,14:00,3.72
01-10-2024,15:00,0
01-10-2024,16:00,3.84
01-10-2024,17:00,2.93
01-10-2024,18:00,3.45
01-10-2024,19:00,0.11
01-10-2024,20:00,3.08
01-10-2024,21:00,0
01-10-2024,22:00,1.34
01-10-2024,23:00,0.39
02-10-2024,00:00,0.46
02-10-2024,01:00,1.84
02-10-2024,02:00,2.03
02-10-2024,03:00,2.02
02-10-2024,04:00,1.18
02-10-2024,05:00,0.29
02-10-2024,06:00,1.35
02-10-2024,07:00,5
02-10-2024,08:00,2.17
02-10-2024,09:00,4.25
02-10-2024,10:00,1.49
02-10-2024,11:00,3.76
02-10-2024,12:00,2.84
02-10-2024,13:00,4.12
02-10-2024,14:00,3.36
02-10-2024,15:00,2.51
02-10-2024,16:00,1.92
02-10-2024,17:00,2.49
02-10-2024,18:00,3.99
02-10-2024,19:00,2.04
02-10-2024,20:00,0
02-10-2024,21:00,0.89
02-10-2024,22:00,0.22
02-10-2024,23:00,2.16
03-10-2024,00:00,2.07
03-10-2024,01:00,0
03-10-2024,02:00,0
03-10-2024,03:00,0.48
03-10-2024,04:00,0
03-10-2024,05:00,0.37
03-10-2024,06:00,2.72
03-10-2024,07:00,2.21
03-10-2024,08:00,4.45
03-10-2024,09:00,4.86
03-10-2024,10:00,2.62
03-10-2024,11:00,2.92
03-10-2024,12:00,3.18
03-10-2024,13:00,3.49
03-10-2024,14:00,2.29
03-10-2024,15:00,3.34
03-10-2024,16:00,4.27
03-10-2024,17:00,3.02
03-10-2024,18:00,3.79
03-10-2024,19:00,2.71
03-10-2024,20:00,0.2
03-10-2024,21:00,1.44
03-10-2024,22:00,0
03-10-2024,23:00,1.43
04-10-2024,00:00,1.25
04-10-2024,01:00,0.94
04-10-2024,02:00,0
04-10-2024,03:00,0.01
04-10-2024,04:00,0
04-10-2024,05:00,3.27
04-10-2024,06:00,3.59
04-10-2024,07:00,4.55
04-10-2024,08:00,1.92
04-10-2024,09:00,3.2
04-10-2024,10:00,3.7
04-10-2024,11:00,0.74
04-10-2024,12:00,2.69
04-10-2024,13:00,3.0
04-10-2024,14:00,2.11
04-10-2024,15:00,1.31
04-10-2024,16:00,0
04-10-2024,17:00,2.83
04-10-2024,18:00,2.26
04-10-2024,19:00,1.7
04-10-2024,20:00,0.01
04-10-2024,21:00,1.64
04-10-2024,22:00,1.24
04-10-2024,23:00,0.34
05-10-2024,00:00,0
05-10-2024,01:00,0.75
05-10-2024,02:00,1.63
05-10-2024,03:00,1.2
05-10-2024,04:00,0
05-10-2024,05:00,0.03
05-10-2024,06:00,3.95
05-10-2024,07:00,2.49
05-10-2024,08:00,3.3
05-10-2024,09:00,4.05
05-10-2024,10:00,1.95
05-10-2024,11:00,3.07
05-10-2024,12:00,2.77
05-10-2024,13:00,3.66
