floor,08
location,004
type,Plug
DD-MM-YYYY,time,data
29-09-2024,00:00,1.25
29-09-2024,01:00,0.89
29-09-2024,02:00,0.67
29-09-2024,03:00,0
29-09-2024,04:00,0.26
29-09-2024,05:00,0.51
29-09-2024,06:00,4.45
29-09-2024,07:00,3.82
29-09-2024,08:00,2.52
29-09-2024,09:00,3.31
29-09-2024,10:00,1.88
29-09-2024,11:00,2.65
29-09-2024,12:00,3.54
29-09-2024,13:00,3.18
29-09-2024,14:00,5
29-09-2024,15:00,2.5
29-09-2024,16:00,1.9
29-09-2024,17:00,4.16
29-09-2024,18:00,4.26
29-09-2024,19:00,1.0
29-09-2024,20:00,2.38
29-09-2024,21:00,0
29-09-2024,22:00,1.86
29-09-2024,23:00,1.48
30-09-2024,00:00,1.15
30-09-2024,01:00,0.79
30-09-2024,02:00,0
30-09-2024,03:00,2.29
30-09-2024,04:00,0.35
30-09-2024,05:00,0.06
30-09-2024,06:00,2.78
30-09-2024,07:00,3.49
30-09-2024,08:00,3.75
30-09-2024,09:00,3.29
30-09-2024,10:00,2.5
30-09-2024,11:00,4.15
30-09-2024,12:00,3.83
30-09-2024,13:00,2.53
30-09-2024,14:00,1.63
30-09-2024,15:00,1.62
30-09-2024,16:00,4.17
30-09-2024,17:00,2.7
30-09-2024,18:00,3.02
30-09-2024,19:00,1.28
30-09-2024,20:00,1.91
30-09-2024,21:00,0.81
30-09-2024,22:00,2.01
30-09-2024,23:00,2.63
01-10-2024,00:00,1.0
01-10-2024,01:00,2.72
01-10-2024,02:00,0
01-10-2024,03:00,0
01-10-2024,04:00,2.23
01-10-2024,05:00,0.24
01-10-2024,06:00,3.26
01-10-2024,07:00,3.66
01-10-2024,08:00,3.59
01-10-2024,09:00,3.66
01-10-2024,10:00,3.06
01-10-2024,11:00,2.76
01-10-2024,12:00,2.33
01-10-2024,13:00,2.49
01-10-2024,14:00,2.01
01-10-2024,15:00,2.6
01-10-2024,16:00,2.32
01-10-2024,17:00,2.63
01-10-2024,18:00,4.49
01-10-2024,19:00,0
01-10-2024,20:00,1.35
01-10-2024,21:00,1.58
01-10-2024,22:00,1.27
01-10-2024,23:00,0
02-10-2024,00:00,1.7
02-10-2024,01:00,0.79
02-10-2024,02:00,1.27
02-10-2024,03:00,0.86
02-10-2024,04:00,1.9
02-10-2024,05:00,0.69
02-10-2024,06:00,3.41
02-10-2024,07:00,3.82
02-10-2024,08:00,4.68
02-10-2024,09:00,4.57
02-10-2024,10:00,4.91
02-10-2024,11:00,4.56
02-10-2024,12:00,2.93
02-10-2024,13:00,3.9
02-10-2024,14:00,3.65
02-10-2024,15:00,0.88
02-10-2024,16:00,2.1
02-10-2024,17:00,2.09
02-10-2024,18:00,3.01
02-10-2024,19:00,0.25
02-10-2024,20:00,2.56
02-10-2024,21:00,2.42
02-10-2024,22:00,0.31
02-10-2024,23:00,0
03-10-2024,00:00,1.59
03-10-2024,01:00,0
03-10-2024,02:00,0
03-10-2024,03:00,2.13
03-10-2024,04:00,1.81
03-10-2024,05:00,2.4
03-10-2024,06:00,3.34
03-10-2024,07:00,3.37
03-10-2024,08:00,2.79
03-10-2024,09:00,0.96
03-10-2024,10:00,0
03-10-2024,11:00,2.27
03-10-2024,12:00,4.47
03-10-2024,13:00,3.54
03-10-2024,14:00,2.68
03-10-2024,15:00,1.41
03-10-2024,16:00,4.07
03-10-2024,17:00,2.99
03-10-2024,18:00,2.91
03-10-2024,19:00,1.71
03-10-2024,20:00,1.54
03-10-2024,21:00,0.22
03-10-2024,22:00,0
03-10-2024,23:00,1.32
04-10-2024,00:00,0
04-10-2024,01:00,0.24
04-10-2024,02:00,0.09
04-10-2024,03:00,0.28
04-10-2024,04:00,1.43
04-10-2024,05:00,1.03
04-10-2024,06:00,4.63
04-10-2024,07:00,3.32
04-10-2024,08:00,4.19
04-10-2024,09:00,2.32
04-10-2024,10:00,2.74
04-10-2024,11:00,3.1
04-10-2024,12:00,3.85
04-10-2024,13:00,0.8
04-10-2024,14:00,2.21
04-10-2024,15:00,3.16
04-10-2024,16:00,2.03
04-10-2024,17:00,2.59
04-10-2024,18:00,3.95
04-10-2024,19:00,0.66
04-10-2024,20:00,1.1
04-10-2024,21:00,1.57
04-10-2024,22:00,1.38
04-10-2024,23:00,2.52
05-10-2024,00:00,1.95
05-10-2024,01:00,1.49
05-10-2024,02:00,2.34
05-10-2024,03:00,2.75
05-10-2024,04:00,2.77
05-10-2024,05:00,0.83
05-10-2024,06:00,2.92
05-10-2024,07:00,3.0
05-10-2024,08:00,2.85
05-10-2024,09:00,3.78
05-10-2024,10:00,3.35
05-10-2024,11:00,1.73
05-10-2024,12:00,2.66
05-10-2024,13:00,2.38
05-10-2024,14:00,2.44
05-10-2024,15:00,2.54
05-10-2024,16:00,1.64
05-10-2024,17:00,2.27
05-10-2024,18:00,2.76
05-10-2024,19:00,2.16
05-10-2024,20:00,0
05-10-2024,21:00,0.31
05-10-2024,22:00,0.86
05-10-2024,23:00,3.29
06-10-2024,00:00,1.5
06-10-2024,01:00,2.09
06-10-2024,02:00,0
06-10-2024,03:00,1.44
06-10-2024,04:00,0
06-10-2024,05:00,1.4
06-10-2024,06:00,3.18
06-10-2024,07:00,3.08
06-10-2024,08:00,1.77
06-10-2024,09:00,2.08
06-10-2024,10:00,2.32
06-10-2024,11:00,2.52
06-10-2024,12:00,4.48
06-10-2024,13:00,3.32
06-10-2024,14:00,0.14
06-10-2024,15:00,4.16
06-10-2024,16:00,2.56
06-10-2024,17:00,1.57
06-10-2024,18:00,1.44
06-10-2024,19:00,1.9
06-10-2024,20:00,2.11
06-10-2024,21:00,0.21
06-10-2024,22:00,0.97
06-10-2024,23:00,1.48
07-10-2024,00:00,2.11
07-10-2024,01:00,0
07-10-2024,02:00,0.52
07-10-2024,03:00,1.34
07-10-2024,04:00,0.73
07-10-2024,05:00,1.07
07-10-2024,06:00,4.23
07-10-2024,07:00,3.73
07-10-2024,08:00,3.6
07-10-2024,09:00,5
07-10-2024,10:00,4.03
07-10-2024,11:00,2.13
07-10-2024,12:00,1.92
07-10-2024,13:00,3.06
07-10-2024,14:00,2.87
07-10-2024,15:00,4.45
07-10-2024,16:00,3.08
07-10-2024,17:00,3.56
07-10-2024,18:00,3.83
07-10-2024,19:00,1.53
07-10-2024,20:00,2.53
07-10-2024,21:00,0
07-10-2024,22:00,2.27
07-10-2024,23:00,0.93
08-10-2024,00:00,0.57
08-10-2024,01:00,0.46
08-10-2024,02:00,1.92
08-10-2024,03:00,0.65
08-10-2024,04:00,2.32
08-10-2024,05:00,2.09
08-10-2024,06:00,2.53
08-10-2024,07:00,3.17
08-10-2024,08:00,4.03
08-10-2024,09:00,1.95
08-10-2024,10:00,2.35
08-10-2024,11:00,0.89
08-10-2024,12:00,3.63
08-10-2024,13:00,3.25
08-10-2024,14:00,2.16
08-10-2024,15:00,3.79
08-10-2024,16:00,2.69
08-10-2024,17:00,3.83
08-10-2024,18:00,1.64
08-10-2024,19:00,1.02
08-10-2024,20:00,1.28
08-10-2024,21:00,0.06
08-10-2024,22:00,1.15
08-10-2024,23:00,0.22
09-10-2024,00:00,0.03
09-10-2024,01:00,1.37
09-10-2024,02:00,1.43
09-10-2024,03:00,1.18
09-10-2024,04:00,1.76
09-10-2024,05:00,1.21
09-10-2024,06:00,2.45
09-10-2024,07:00,2.33
09-10-2024,08:00,3.1
09-10-2024,09:00,1.88
09-10-2024,10:00,2.7
09-10-2024,11:00,4.53
09-10-2024,12:00,4.57
09-10-2024,13:00,4.04
09-10-2024,14:00,1.5
09-10-2024,15:00,3.27
09-10-2024,16:00,4.8
09-10-2024,17:00,3.37
09-10-2024,18:00,1.19
09-10-2024,19:00,0
09-10-2024,20:00,0.02
09-10-2024,21:00,0.26
09-10-2024,22:00,2.23
09-10-2024,23:00,1.96
10-10-2024,00:00,0.99
10-10-2024,01:00,0.7
10-10-2024,02:00,0
10-10-2024,03:00,0.29
10-10-2024,04:00,0
10-10-2024,05:00,0.36
10-10-2024,06:00,3.73
10-10-2024,07:00,1.8
10-10-2024,08:00,3.71
10-10-2024,09:00,2.15
10-10-2024,10:00,2.66
10-10-2024,11:00,2.42
10-10-2024,12:00,3.65
10-10-2024,13:00,3.33
10-10-2024,14:00,3.43
10-10-2024,15:00,2.42
10-10-2024,16:00,2.57
10-10-2024,17:00,2.6
10-10-2024,18:00,1.28
10-10-2024,19:00,1.29
10-10-2024,20:00,0
10-10-2024,21:00,0.56
10-10-2024,22:00,0.3
10-10-2024,23:00,1.67
11-10-2024,00:00,0.13
11-10-2024,01:00,0.81
11-10-2024,02:00,0.74
11-10-2024,03:00,1.34
11-10-2024,04:00,0.76
11-10-2024,05:00,2.47
11-10-2024,06:00,3.38
11-10-2024,07:00,4.34
11-10-2024,08:00,3.91
11-10-2024,09:00,3.75
11-10-2024,10:00,3.57
11-10-2024,11:00,2.52
11-10-2024,12:00,4.24
11-10-2024,13:00,3.64
11-10-2024,14:00,3.88
11-10-2024,15:00,2.65
11-10-2024,16:00,2.17
11-10-2024,17:00,3.96
11-10-2024,18:00,4.83
11-10-2024,19:00,0.42
11-10-2024,20:00,1.25
11-10-2024,21:00,0.61
11-10-2024,22:00,0
11-10-2024,23:00,0.51
