floor,05
location,008
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,1.28
29-09-2024,01:00,1.11
29-09-2024,02:00,0
29-09-2024,03:00,0
29-09-2024,04:00,0.72
29-09-2024,05:00,0.37
29-09-2024,06:00,2.89
29-09-2024,07:00,2.03
29-09-2024,08:00,4.51
29-09-2024,09:00,1.58
29-09-2024,10:00,3.7
29-09-2024,11:00,3.67
29-09-2024,12:00,1.85
29-09-2024,13:00,1.48
29-09-2024,14:00,3.14
29-09-2024,15:00,1.91
29-09-2024,16:00,2.42
29-09-2024,17:00,3.43
29-09-2024,18:00,1.72
29-09-2024,19:00,0.94
29-09-2024,20:00,2.38
29-09-2024,21:00,0.18
29-09-2024,22:00,2.2
29-09-2024,23:00,2.87
30-09-2024,00:00,1.6
30-09-2024,01:00,0
30-09-2024,02:00,2.61
30-09-2024,03:00,0.54
30-09-2024,04:00,1.49
30-09-2024,05:00,2.0
30-09-2024,06:00,2.9
30-09-2024,07:00,3.13
30-09-2024,08:00,4.57
30-09-2024,09:00,2.1
30-09-2024,10:00,2.19
30-09-2024,11:00,2.51
30-09-2024,12:00,5
30-09-2024,13:00,4.35
30-09-2024,14:00,5
30-09-2024,15:00,1.8
30-09-2024,16:00,2.66
30-09-2024,17:00,3.43
30-09-2024,18:00,2.47
30-09-2024,19:00,1.12
30-09-2024,20:00,0.06
30-09-2024,21:00,1.36
30-09-2024,22:00,1.28
30-09-2024,23:00,0
01-10-2024,00:00,1.7
01-10-2024,01:00,0
01-10-2024,02:00,1.48
01-10-2024,03:00,0.71
01-10-2024,04:00,1.11
01-10-2024,05:00,3.54
01-10-2024,06:00,3.05
01-10-2024,07:00,4.41
01-10-2024,08:00,1.7
01-10-2024,09:00,4.51
01-10-2024,10:00,4.59
01-10-2024,11:00,2.56
01-10-2024,12:00,4.11
01-10-2024,13:00,3.46
01-10-2024,14:00,0.22
01-10-2024,15:00,3.29
01-10-2024,16:00,5
01-10-2024,17:00,2.74
01-10-2024,18:00,3.94
01-10-2024,19:00,0.33
01-10-2024,20:00,0.64
01-10-2024,21:00,0
01-10-2024,22:00,0
01-10-2024,23:00,0.59
02-10-2024,00:00,0.52
02-10-2024,01:00,0
02-10-2024,02:00,2.43
02-10-2024,03:00,1.68
02-10-2024,04:00,3.81
02-10-2024,05:00,1.83
02-10-2024,06:00,3.43
02-10-2024,07:00,1.73
02-10-2024,08:00,2.66
02-10-2024,09:00,2.73
02-10-2024,10:00,5
02-10-2024,11:00,2.26
02-10-2024,12:00,3.31
02-10-2024,13:00,0.84
02-10-2024,14:00,3.05
02-10-2024,15:00,3.14
02-10-2024,16:00,1.45
02-10-2024,17:00,2.48
02-10-2024,18:00,3.4
02-10-2024,19:00,0.77
