floor,03
location,001
type,AC1
DD-MM-YYYY,time,data
29-09-2024,00:00,1.62
29-09-2024,01:00,0
29-09-2024,02:00,0
29-09-2024,03:00,0.31
29-09-2024,04:00,1.42
29-09-2024,05:00,0.58
29-09-2024,06:00,4.35
29-09-2024,07:00,4.34
29-09-2024,08:00,3.53
29-09-2024,09:00,3.36
29-09-2024,10:00,3.16
29-09-2024,11:00,3.96
29-09-2024,12:00,3.12
29-09-2024,13:00,2.42
29-09-2024,14:00,3.9
29-09-2024,15:00,3.51
29-09-2024,16:00,4.06
29-09-2024,17:00,3.37
29-09-2024,18:00,1.85
29-09-2024,19:00,1.48
29-09-2024,20:00,2.42
29-09-2024,21:00,0
29-09-2024,22:00,0
29-09-2024,23:00,0.17
30-09-2024,00:00,1.41
30-09-2024,01:00,0.61
30-09-2024,02:00,1.17
30-09-2024,03:00,1.05
30-09-2024,04:00,2.29
30-09-2024,05:00,0
30-09-2024,06:00,2.91
30-09-2024,07:00,2.95
30-09-2024,08:00,2.16
30-09-2024,09:00,2.0
30-09-2024,10:00,4.73
30-09-2024,11:00,1.45
30-09-2024,12:00,3.73
30-09-2024,13:00,3.23
30-09-2024,14:00,3.01
30-09-2024,15:00,4.77
30-09-2024,16:00,2.91
30-09-2024,17:00,4.19
30-09-2024,18:00,2.73
30-09-2024,19:00,0.76
30-09-2024,20:00,0.74
30-09-2024,21:00,0.64
30-09-2024,22:00,1.9
30-09-2024,23:00,0.59
01-10-2024,00:00,1.72
01-10-2024,01:00,0.35
01-10-2024,02:00,0.62
01-10-2024,03:00,1.09
01-10-2024,04:00,0.34
01-10-2024,05:00,0.5
01-10-2024,06:00,2.07
01-10-2024,07:00,2.31
01-10-2024,08:00,3.7
01-10-2024,09:00,3.29
01-10-2024,10:00,5
01-10-2024,11:00,4.39
01-10-2024,12:00,2.88
01-10-2024,13:00,3.48
01-10-2024,14:00,1.16
01-10-2024,15:00,4.01
01-10-2024,16:00,3.03
01-10-2024,17:00,2.69
01-10-2024,18:00,4.32
01-10-2024,19:00,0.96
01-10-2024,20:00,1.16
01-10-2024,21:00,1.39
01-10-2024,22:00,0.71
01-10-2024,23:00,0
02-10-2024,00:00,1.38
02-10-2024,01:00,1.66
02-10-2024,02:00,0.42
02-10-2024,03:00,0
02-10-2024,04:00,1.2
02-10-2024,05:00,0
02-10-2024,06:00,2.95
02-10-2024,07:00,1.39
02-10-2024,08:00,4.44
02-10-2024,09:00,3.0
02-10-2024,10:00,2.57
02-10-2024,11:00,2.16
02-10-2024,12:00,3.54
02-10-2024,13:00,2.98
02-10-2024,14:00,4.22
02-10-2024,15:00,4.37
02-10-2024,16:00,4.26
02-10-2024,17:00,2.44
02-10-2024,18:00,4.23
