floor,02
location,008
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,1.72
29-09-2024,01:00,0.59
29-09-2024,02:00,0
29-09-2024,03:00,1.5
29-09-2024,04:00,1.59
29-09-2024,05:00,0
29-09-2024,06:00,1.28
29-09-2024,07:00,1.75
29-09-2024,08:00,4.62
29-09-2024,09:00,2.09
29-09-2024,10:00,1.84
29-09-2024,11:00,2.67
29-09-2024,12:00,1.96
29-09-2024,13:00,3.02
29-09-2024,14:00,4.24
29-09-2024,15:00,4.05
29-09-2024,16:00,2.0
29-09-2024,17:00,3.46
29-09-2024,18:00,1.15
29-09-2024,19:00,0.98
29-09-2024,20:00,2.28
29-09-2024,21:00,0.76
29-09-2024,22:00,2.72
29-09-2024,23:00,1.4
30-09-2024,00:00,1.32
30-09-2024,01:00,1.79
30-09-2024,02:00,0.08
30-09-2024,03:00,1.35
30-09-2024,04:00,0.96
30-09-2024,05:00,1.04
30-09-2024,06:00,2.29
30-09-2024,07:00,5
30-09-2024,08:00,3.82
30-09-2024,09:00,3.77
30-09-2024,10:00,4.13
30-09-2024,11:00,1.25
30-09-2024,12:00,3.69
30-09-2024,13:00,3.18
30-09-2024,14:00,2.0
30-09-2024,15:00,3.41
30-09-2024,16:00,1.3
30-09-2024,17:00,2.6
30-09-2024,18:00,5
30-09-2024,19:00,2.93
30-09-2024,20:00,1.39
30-09-2024,21:00,0.91
30-09-2024,22:00,2.31
30-09-2024,23:00,1.92
01-10-2024,00:00,0.18
01-10-2024,01:00,1.06
01-10-2024,02:00,1.22
01-10-2024,03:00,2.09
01-10-2024,04:00,0.37
01-10-2024,05:00,0
01-10-2024,06:00,4.33
01-10-2024,07:00,3.98
01-10-2024,08:00,2.86
01-10-2024,09:00,4.89
01-10-2024,10:00,4.95
01-10-2024,11:00,4.25
01-10-2024,12:00,1.66
01-10-2024,13:00,2.83
01-10-2024,14:00,4.97
01-10-2024,15:00,3.53
01-10-2024,16:00,4.54
01-10-2024,17:00,1.91
01-10-2024,18:00,3.67
01-10-2024,19:00,0.12
01-10-2024,20:00,1.28
01-10-2024,21:00,0
01-10-2024,22:00,0
01-10-2024,23:00,0.66
02-10-2024,00:00,0.58
02-10-2024,01:00,0.58
02-10-2024,02:00,0.95
02-10-2024,03:00,0
02-10-2024,04:00,0.61
02-10-2024,05:00,1.36
02-10-2024,06:00,3.95
02-10-2024,07:00,4.8
02-10-2024,08:00,1.74
02-10-2024,09:00,3.16
02-10-2024,10:00,1.78
02-10-2024,11:00,1.93
02-10-2024,12:00,2.77
02-10-2024,13:00,1.92
02-10-2024,14:00,3.73
02-10-2024,15:00,2.66
02-10-2024,16:00,2.12
02-10-2024,17:00,4.15
02-10-2024,18:00,2.59
02-10-2024,19:00,0.61
02-10-2024,20:00,0.64
02-10-2024,21:00,0.72
02-10-2024,22:00,0.84
02-10-2024,23:00,0.91
03-10-2024,00:00,0.25
03-10-2024,01:00,1.0
03-10-2024,02:00,1.27
03-10-2024,03:00,1.69
03-10-2024,04:00,3.06
03-10-2024,05:00,2.0
03-10-2024,06:00,2.53
03-10-2024,07:00,1.94
03-10-2024,08:00,3.62
03-10-2024,09:00,2.67
03-10-2024,10:00,2.01
03-10-2024,11:00,2.37
03-10-2024,12:00,1.73
03-10-2024,13:00,3.69
03-10-2024,14:00,2.4
03-10-2024,15:00,2.92
03-10-2024,16:00,1.36
03-10-2024,17:00,1.98
03-10-2024,18:00,4.89
03-10-2024,19:00,0.76
03-10-2024,20:00,0.64
03-10-2024,21:00,0.33
03-10-2024,22:00,0
03-10-2024,23:00,1.54
04-10-2024,00:00,1.77
04-10-2024,01:00,0
