floor,06
location,006
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,0.39
29-09-2024,01:00,1.98
29-09-2024,02:00,2.75
29-09-2024,03:00,0.35
29-09-2024,04:00,0.03
29-09-2024,05:00,1.24
29-09-2024,06:00,3.01
29-09-2024,07:00,2.72
29-09-2024,08:00,3.48
29-09-2024,09:00,1.01
29-09-2024,10:00,4.4
29-09-2024,11:00,4.24
29-09-2024,12:00,1.72
29-09-2024,13:00,3.31
29-09-2024,14:00,3.48
29-09-2024,15:00,4.15
29-09-2024,16:00,4.2
29-09-2024,17:00,3.42
29-09-2024,18:00,4.51
29-09-2024,19:00,1.25
29-09-2024,20:00,1.41
29-09-2024,21:00,1.55
29-09-2024,22:00,2.55
29-09-2024,23:00,2.4
30-09-2024,00:00,1.77
30-09-2024,01:00,1.08
30-09-2024,02:00,1.21
30-09-2024,03:00,0.55
30-09-2024,04:00,0.78
30-09-2024,05:00,0.52
30-09-2024,06:00,3.11
30-09-2024,07:00,2.85
30-09-2024,08:00,2.99
30-09-2024,09:00,3.06
30-09-2024,10:00,3.18
30-09-2024,11:00,3.71
30-09-2024,12:00,2.49
30-09-2024,13:00,1.23
30-09-2024,14:00,3.0
30-09-2024,15:00,2.5
30-09-2024,16:00,2.46
30-09-2024,17:00,2.34
30-09-2024,18:00,2.0
30-09-2024,19:00,1.65
30-09-2024,20:00,0
30-09-2024,21:00,0
30-09-2024,22:00,0.72
30-09-2024,23:00,1.56
01-10-2024,00:00,1.03
01-10-2024,01:00,2.51
01-10-2024,02:00,1.68
01-10-2024,03:00,2.23
01-10-2024,04:00,0
01-10-2024,05:00,0.88
01-10-2024,06:00,2.24
01-10-2024,07:00,2.88
01-10-2024,08:00,0.52
01-10-2024,09:00,1.46
01-10-2024,10:00,2.15
01-10-2024,11:00,1.7
01-10-2024,12:00,3.91
01-10-2024,13:00,1.34
01-10-2024,14:00,2.56
01-10-2024,15:00,1.82
01-10-2024,16:00,2.59
01-10-2024,17:00,2.49
01-10-2024,18:00,3.28
01-10-2024,19:00,1.23
01-10-2024,20:00,2.2
01-10-2024,21:00,2.34
01-10-2024,22:00,2.04
01-10-2024,23:00,1.31
02-10-2024,00:00,0
02-10-2024,01:00,1.06
02-10-2024,02:00,2.07
02-10-2024,03:00,0
02-10-2024,04:00,0.8
02-10-2024,05:00,0.51
02-10-2024,06:00,3.47
02-10-2024,07:00,1.16
02-10-2024,08:00,2.01
02-10-2024,09:00,3.11
02-10-2024,10:00,5
02-10-2024,11:00,2.99
02-10-2024,12:00,3.07
02-10-2024,13:00,2.34
02-10-2024,14:00,4.11
02-10-2024,15:00,2.69
02-10-2024,16:00,3.27
02-10-2024,17:00,4.85
02-10-2024,18:00,2.88
02-10-2024,19:00,0.52
02-10-2024,20:00,1.13
02-10-2024,21:00,1.66
02-10-2024,22:00,2.34
02-10-2024,23:00,1.12
03-10-2024,00:00,1.75
03-10-2024,01:00,3.01
03-10-2024,02:00,2.66
03-10-2024,03:00,0
03-10-2024,04:00,2.24
03-10-2024,05:00,0
03-10-2024,06:00,2.18
03-10-2024,07:00,2.34
03-10-2024,08:00,1.92
03-10-2024,09:00,0.89
03-10-2024,10:00,4.73
03-10-2024,11:00,4.34
03-10-2024,12:00,1.62
03-10-2024,13:00,2.92
03-10-2024,14:00,2.92
03-10-2024,15:00,3.71
03-10-2024,16:00,2.39
03-10-2024,17:00,3.38
03-10-2024,18:00,3.1
03-10-2024,19:00,1.75
03-10-2024,20:00,1.13
03-10-2024,21:00,0.33
03-10-2024,22:00,0.34
03-10-2024,23:00,1.28
04-10-2024,00:00,2.45
04-10-2024,01:00,1.98
04-10-2024,02:00,0
04-10-2024,03:00,0
04-10-2024,04:00,0.16
04-10-2024,05:00,1.71
04-10-2024,06:00,2.65
04-10-2024,07:00,1.73
04-10-2024,08:00,4.45
04-10-2024,09:00,2.89
04-10-2024,10:00,4.02
04-10-2024,11:00,2.38
04-10-2024,12:00,1.48
04-10-2024,13:00,2.06
04-10-2024,14:00,1.15
04-10-2024,15:00,3.77
04-10-2024,16:00,3.01
04-10-2024,17:00,2.63
04-10-2024,18:00,1.83
04-10-2024,19:00,1.55
04-10-2024,20:00,1.51
04-10-2024,21:00,1.9
04-10-2024,22:00,0.51
04-10-2024,23:00,1.52
05-10-2024,00:00,0.24
05-10-2024,01:00,0
05-10-2024,02:00,3.01
05-10-2024,03:00,1.05
05-10-2024,04:00,1.06
05-10-2024,05:00,1.68
05-10-2024,06:00,0
05-10-2024,07:00,3.06
05-10-2024,08:00,3.46
05-10-2024,09:00,2.61
05-10-2024,10:00,2.4
05-10-2024,11:00,4.54
05-10-2024,12:00,3.15
05-10-2024,13:00,3.3
05-10-2024,14:00,2.39
05-10-2024,15:00,3.71
05-10-2024,16:00,2.88
05-10-2024,17:00,2.98
05-10-2024,18:00,2.58
05-10-2024,19:00,3.09
05-10-2024,20:00,2.74
05-10-2024,21:00,1.58
05-10-2024,22:00,1.97
05-10-2024,23:00,4.01
06-10-2024,00:00,1.66
06-10-2024,01:00,1.2
06-10-2024,02:00,0.96
06-10-2024,03:00,0.74
06-10-2024,04:00,2.62
06-10-2024,05:00,0
06-10-2024,06:00,1.62
06-10-2024,07:00,1.72
06-10-2024,08:00,3.49
06-10-2024,09:00,3.57
06-10-2024,10:00,4.17
06-10-2024,11:00,3.63
06-10-2024,12:00,3.27
06-10-2024,13:00,2.89
06-10-2024,14:00,3.67
06-10-2024,15:00,1.68
06-10-2024,16:00,1.78
06-10-2024,17:00,3.83
06-10-2024,18:00,2.86
06-10-2024,19:00,1.64
06-10-2024,20:00,1.39
06-10-2024,21:00,1.56
06-10-2024,22:00,0.1
06-10-2024,23:00,0
07-10-2024,00:00,1.06
07-10-2024,01:00,1.96
07-10-2024,02:00,1.75
07-10-2024,03:00,1.42
07-10-2024,04:00,1.49
07-10-2024,05:00,2.76
07-10-2024,06:00,2.06
07-10-2024,07:00,3.49
07-10-2024,08:00,1.25
07-10-2024,09:00,3.54
07-10-2024,10:00,3.1
07-10-2024,11:00,3.21
07-10-2024,12:00,4.05
07-10-2024,13:00,2.57
07-10-2024,14:00,1.97
07-10-2024,15:00,3.77
07-10-2024,16:00,4.29
07-10-2024,17:00,2.71
07-10-2024,18:00,2.65
07-10-2024,19:00,2.18
07-10-2024,20:00,0.26
07-10-2024,21:00,0.84
07-10-2024,22:00,1.43
07-10-2024,23:00,1.37
08-10-2024,00:00,2.04
08-10-2024,01:00,1.52
08-10-2024,02:00,1.49
08-10-2024,03:00,1.54
08-10-2024,04:00,0.66
08-10-2024,05:00,0.7
08-10-2024,06:00,1.88
08-10-2024,07:00,3.56
08-10-2024,08:00,2.74
08-10-2024,09:00,2.49
08-10-2024,10:00,3.12
08-10-2024,11:00,4.78
08-10-2024,12:00,1.73
08-10-2024,13:00,4.66
08-10-2024,14:00,2.62
08-10-2024,15:00,3.46
08-10-2024,16:00,2.65
08-10-2024,17:00,1.75
08-10-2024,18:00,1.79
08-10-2024,19:00,1.4
08-10-2024,20:00,0.83
08-10-2024,21:00,0.58
08-10-2024,22:00,1.16
08-10-2024,23:00,1.84
09-10-2024,00:00,0.88
09-10-2024,01:00,1.09
09-10-2024,02:00,0.78
09-10-2024,03:00,0
09-10-2024,04:00,0
09-10-2024,05:00,2.17
09-10-2024,06:00,3.03
09-10-2024,07:00,2.01
09-10-2024,08:00,1.6
09-10-2024,09:00,2.87
09-10-2024,10:00,4.01
09-10-2024,11:00,4.98
09-10-2024,12:00,3.45
09-10-2024,13:00,3.27
09-10-2024,14:00,3.84
09-10-2024,15:00,3.27
09-10-2024,16:00,2.62
09-10-2024,17:00,4.01
09-10-2024,18:00,3.59
09-10-2024,19:00,1.6
09-10-2024,20:00,3.22
09-10-2024,21:00,0
09-10-2024,22:00,1.46
09-10-2024,23:00,0
10-10-2024,00:00,0.47
10-10-2024,01:00,1.39
10-10-2024,02:00,1.83
10-10-2024,03:00,1.89
10-10-2024,04:00,1.89
10-10-2024,05:00,0
10-10-2024,06:00,2.08
10-10-2024,07:00,3.46
10-10-2024,08:00,2.1
10-10-2024,09:00,3.51
10-10-2024,10:00,3.83
10-10-2024,11:00,3.41
10-10-2024,12:00,2.44
10-10-2024,13:00,1.47
10-10-2024,14:00,3.31
10-10-2024,15:00,2.4
10-10-2024,16:00,2.67
10-10-2024,17:00,1.65
10-10-2024,18:00,3.08
10-10-2024,19:00,1.06
10-10-2024,20:00,0.13
10-10-2024,21:00,2.15
10-10-2024,22:00,0.6
10-10-2024,23:00,1.13
11-10-2024,00:00,1.17
11-10-2024,01:00,-0.0
11-10-2024,02:00,2.27
11-10-2024,03:00,1.17
11-10-2024,04:00,1.28
11-10-2024,05:00,0
11-10-2024,06:00,4.05
11-10-2024,07:00,4.33
11-10-2024,08:00,3.24
11-10-2024,09:00,3.27
11-10-2024,10:00,3.02
11-10-2024,11:00,4.35
11-10-2024,12:00,3.28
11-10-2024,13:00,3.53
11-10-2024,14:00,2.01
11-10-2024,15:00,3.19
11-10-2024,16:00,3.4
11-10-2024,17:00,3.61
11-10-2024,18:00,5
11-10-2024,19:00,0.74
11-10-2024,20:00,1.09
11-10-2024,21:00,0.7
11-10-2024,22:00,0.34
11-10-2024,23:00,0.93
12-10-2024,00:00,2.27
12-10-2024,01:00,0.96
12-10-2024,02:00,0
12-10-2024,03:00,0.42
12-10-2024,04:00,0
12-10-2024,05:00,1.2
12-10-2024,06:00,1.91
12-10-2024,07:00,2.48
12-10-2024,08:00,3.68
12-10-2024,09:00,2.7
12-10-2024,10:00,2.29
12-10-2024,11:00,2.91
12-10-2024,12:00,4.26
12-10-2024,13:00,3.87
12-10-2024,14:00,1.6
12-10-2024,15:00,2.5
12-10-2024,16:00,1.86
12-10-2024,17:00,5
12-10-2024,18:00,1.92
12-10-2024,19:00,0.77
12-10-2024,20:00,0.64
12-10-2024,21:00,0
12-10-2024,22:00,1.37
12-10-2024,23:00,1.23
13-10-2024,00:00,0
13-10-2024,01:00,2.67
13-10-2024,02:00,1.13
13-10-2024,03:00,0.98
13-10-2024,04:00,1.39
13-10-2024,05:00,1.94
13-10-2024,06:00,1.46
13-10-2024,07:00,2.24
13-10-2024,08:00,3.62
13-10-2024,09:00,4.08
13-10-2024,10:00,3.79
13-10-2024,11:00,2.38
13-10-2024,12:00,3.42
13-10-2024,13:00,2.32
13-10-2024,14:00,4.18
13-10-2024,15:00,2.96
13-10-2024,16:00,2.57
13-10-2024,17:00,1.19
13-10-2024,18:00,1.84
13-10-2024,19:00,0
13-10-2024,20:00,1.56
13-10-2024,21:00,0.85
13-10-2024,22:00,0.02
13-10-2024,23:00,1.23
14-10-2024,00:00,1.36
14-10-2024,01:00,0
14-10-2024,02:00,0.43
14-10-2024,03:00,3.74
14-10-2024,04:00,0.76
14-10-2024,05:00,1.53
14-10-2024,06:00,3.83
14-10-2024,07:00,3.52
14-10-2024,08:00,2.92
14-10-2024,09:00,3.44
14-10-2024,10:00,1.68
14-10-2024,11:00,4.16
14-10-2024,12:00,2.94
14-10-2024,13:00,2.81
14-10-2024,14:00,3.78
14-10-2024,15:00,3.96
14-10-2024,16:00,2.53
14-10-2024,17:00,3.9
14-10-2024,18:00,0.96
14-10-2024,19:00,2.17
14-10-2024,20:00,2.23
14-10-2024,21:00,2.15
14-10-2024,22:00,0
14-10-2024,23:00,0
15-10-2024,00:00,1.76
15-10-2024,01:00,1.08
15-10-2024,02:00,0.06
15-10-2024,03:00,1.87
15-10-2024,04:00,0
15-10-2024,05:00,2.29
15-10-2024,06:00,4.13
15-10-2024,07:00,0.47
15-10-2024,08:00,2.36
15-10-2024,09:00,3.99
15-10-2024,10:00,2.29
15-10-2024,11:00,3.4
15-10-2024,12:00,1.93
15-10-2024,13:00,4.92
15-10-2024,14:00,3.64
15-10-2024,15:00,3.82
15-10-2024,16:00,2.07
15-10-2024,17:00,2.2
15-10-2024,18:00,2.75
15-10-2024,19:00,1.68
15-10-2024,20:00,0.64
15-10-2024,21:00,0
15-10-2024,22:00,0.92
15-10-2024,23:00,2.55
16-10-2024,00:00,0.5
16-10-2024,01:00,1.59
16-10-2024,02:00,0.69
16-10-2024,03:00,1.73
16-10-2024,04:00,1.49
16-10-2024,05:00,0
16-10-2024,06:00,4.18
16-10-2024,07:00,3.63
16-10-2024,08:00,1.47
16-10-2024,09:00,3.52
16-10-2024,10:00,2.36
16-10-2024,11:00,3.7
16-10-2024,12:00,1.63
16-10-2024,13:00,4.3
16-10-2024,14:00,3.05
16-10-2024,15:00,2.29
16-10-2024,16:00,3.74
16-10-2024,17:00,4.52
16-10-2024,18:00,2.1
16-10-2024,19:00,1.12
16-10-2024,20:00,0.91
16-10-2024,21:00,0.47
16-10-2024,22:00,1.16
16-10-2024,23:00,2.1
17-10-2024,00:00,0.13
17-10-2024,01:00,0.73
17-10-2024,02:00,0
17-10-2024,03:00,2.2
17-10-2024,04:00,0
17-10-2024,05:00,1.31
17-10-2024,06:00,3.13
17-10-2024,07:00,2.65
17-10-2024,08:00,2.32
17-10-2024,09:00,2.32
17-10-2024,10:00,1.54
17-10-2024,11:00,4.13
17-10-2024,12:00,3.75
