floor,01
location,006
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,1.49
29-09-2024,01:00,0.8
29-09-2024,02:00,3.39
29-09-2024,03:00,0.39
29-09-2024,04:00,0.61
29-09-2024,05:00,0
29-09-2024,06:00,2.13
29-09-2024,07:00,4.52
29-09-2024,08:00,4.94
29-09-2024,09:00,2.16
29-09-2024,10:00,1.85
29-09-2024,11:00,2.29
29-09-2024,12:00,2.44
29-09-2024,13:00,1.91
29-09-2024,14:00,4.09
29-09-2024,15:00,3.63
29-09-2024,16:00,3.7
29-09-2024,17:00,3.75
29-09-2024,18:00,3.12
29-09-2024,19:00,0.74
29-09-2024,20:00,0.06
29-09-2024,21:00,1.29
29-09-2024,22:00,2.68
29-09-2024,23:00,1.73
30-09-2024,00:00,1.05
30-09-2024,01:00,1.04
30-09-2024,02:00,0.94
30-09-2024,03:00,2.62
30-09-2024,04:00,1.54
30-09-2024,05:00,0
30-09-2024,06:00,2.5
30-09-2024,07:00,2.85
30-09-2024,08:00,0.46
30-09-2024,09:00,0.8
30-09-2024,10:00,4.68
30-09-2024,11:00,3.28
30-09-2024,12:00,1.96
30-09-2024,13:00,3.67
30-09-2024,14:00,3.15
30-09-2024,15:00,1.99
30-09-2024,16:00,4.02
30-09-2024,17:00,2.98
30-09-2024,18:00,2.86
30-09-2024,19:00,2.61
30-09-2024,20:00,0.88
30-09-2024,21:00,1.69
30-09-2024,22:00,1.89
30-09-2024,23:00,1.94
01-10-2024,00:00,2.44
01-10-2024,01:00,0.97
01-10-2024,02:00,0.92
01-10-2024,03:00,1.69
01-10-2024,04:00,0
01-10-2024,05:00,1.04
01-10-2024,06:00,2.51
01-10-2024,07:00,3.05
01-10-2024,08:00,4.79
01-10-2024,09:00,2.38
01-10-2024,10:00,3.23
01-10-2024,11:00,1.91
01-10-2024,12:00,3.75
01-10-2024,13:00,2.05
01-10-2024,14:00,3.36
01-10-2024,15:00,2.09
01-10-2024,16:00,3.92
01-10-2024,17:00,2.26
01-10-2024,18:00,2.85
01-10-2024,19:00,1.16
01-10-2024,20:00,0.62
01-10-2024,21:00,1.1
01-10-2024,22:00,0
01-10-2024,23:00,0
02-10-2024,00:00,2.39
02-10-2024,01:00,0.33
02-10-2024,02:00,1.42
02-10-2024,03:00,2.63
02-10-2024,04:00,1.25
02-10-2024,05:00,1.08
02-10-2024,06:00,1.14
02-10-2024,07:00,2.48
02-10-2024,08:00,4.06
02-10-2024,09:00,5
02-10-2024,10:00,2.73
02-10-2024,11:00,2.37
02-10-2024,12:00,2.53
02-10-2024,13:00,3.38
02-10-2024,14:00,4.25
02-10-2024,15:00,4.01
