floor,06
location,006
type,AC1
DD-MM-YYYY,time,data
29-09-2024,00:00,0.65
29-09-2024,01:00,0.86
29-09-2024,02:00,0.15
29-09-2024,03:00,2.69
29-09-2024,04:00,2.19
29-09-2024,05:00,0.22
29-09-2024,06:00,3.35
29-09-2024,07:00,4.78
29-09-2024,08:00,2.71
29-09-2024,09:00,3.62
29-09-2024,10:00,2.88
29-09-2024,11:00,0.78
29-09-2024,12:00,1.17
29-09-2024,13:00,2.02
29-09-2024,14:00,2.43
29-09-2024,15:00,3.76
29-09-2024,16:00,3.47
29-09-2024,17:00,1.33
29-09-2024,18:00,3.65
29-09-2024,19:00,0.57
29-09-2024,20:00,0.17
29-09-2024,21:00,0.89
29-09-2024,22:00,0.14
29-09-2024,23:00,1.82
30-09-2024,00:00,0
30-09-2024,01:00,2.44
30-09-2024,02:00,1.88
30-09-2024,03:00,0.47
30-09-2024,04:00,0
30-09-2024,05:00,0.98
30-09-2024,06:00,2.02
30-09-2024,07:00,1.75
30-09-2024,08:00,3.54
30-09-2024,09:00,4.52
30-09-2024,10:00,2.8
30-09-2024,11:00,3.86
30-09-2024,12:00,3.81
30-09-2024,13:00,2.03
30-09-2024,14:00,2.79
30-09-2024,15:00,2.9
30-09-2024,16:00,3.16
30-09-2024,17:00,3.43
30-09-2024,18:00,1.16
30-09-2024,19:00,0.95
30-09-2024,20:00,0
30-09-2024,21:00,1.0
30-09-2024,22:00,1.71
30-09-2024,23:00,0
01-10-2024,00:00,2.28
01-10-2024,01:00,1.48
01-10-2024,02:00,0.55
01-10-2024,03:00,0.71
01-10-2024,04:00,0.56
01-10-2024,05:00,0.85
01-10-2024,06:00,5
01-10-2024,07:00,2.73
01-10-2024,08:00,4.56
01-10-2024,09:00,2.15
01-10-2024,10:00,2.84
01-10-2024,11:00,2.33
01-10-2024,12:00,2.78
01-10-2024,13:00,2.61
01-10-2024,14:00,2.72
01-10-2024,15:00,4.06
01-10-2024,16:00,2.65
01-10-2024,17:00,3.15
01-10-2024,18:00,3.9
01-10-2024,19:00,1.45
01-10-2024,20:00,0.39
01-10-2024,21:00,0.56
01-10-2024,22:00,0.18
01-10-2024,23:00,0.46
02-10-2024,00:00,0
02-10-2024,01:00,0.62
02-10-2024,02:00,0.98
02-10-2024,03:00,0
02-10-2024,04:00,0.33
02-10-2024,05:00,2.39
02-10-2024,06:00,3.09
02-10-2024,07:00,2.05
02-10-2024,08:00,1.66
02-10-2024,09:00,4.96
02-10-2024,10:00,4.29
02-10-2024,11:00,1.96
02-10-2024,12:00,2.1
02-10-2024,13:00,2.1
02-10-2024,14:00,3.28
