floor,07
location,003
type,AC1
DD-MM-YYYY,time,data
29-09-2024,00:00,0.34
29-09-2024,01:00,1.75
29-09-2024,02:00,0
29-09-2024,03:00,1.53
29-09-2024,04:00,1.53
29-09-2024,05:00,0
29-09-2024,06:00,3.48
29-09-2024,07:00,2.35
29-09-2024,08:00,4.06
29-09-2024,09:00,3.12
29-09-2024,10:00,3.31
29-09-2024,11:00,2.35
29-09-2024,12:00,2.66
29-09-2024,13:00,2.01
29-09-2024,14:00,3.2
29-09-2024,15:00,2.43
29-09-2024,16:00,2.56
29-09-2024,17:00,3.0
29-09-2024,18:00,4.62
29-09-2024,19:00,0.85
29-09-2024,20:00,0.96
29-09-2024,21:00,0.86
29-09-2024,22:00,0
29-09-2024,23:00,1.58
30-09-2024,00:00,0
30-09-2024,01:00,0
30-09-2024,02:00,2.49
30-09-2024,03:00,2.12
30-09-2024,04:00,3.33
30-09-2024,05:00,2.12
30-09-2024,06:00,4.2
30-09-2024,07:00,2.84
30-09-2024,08:00,3.18
30-09-2024,09:00,1.26
30-09-2024,10:00,2.65
30-09-2024,11:00,4.05
30-09-2024,12:00,3.85
30-09-2024,13:00,3.17
30-09-2024,14:00,4.01
30-09-2024,15:00,1.9
30-09-2024,16:00,2.93
30-09-2024,17:00,3.43
30-09-2024,18:00,4.47
30-09-2024,19:00,1.72
30-09-2024,20:00,1.54
30-09-2024,21:00,0.66
30-09-2024,22:00,1.71
30-09-2024,23:00,1.67
01-10-2024,00:00,1.24
01-10-2024,01:00,0.4
01-10-2024,02:00,0.35
01-10-2024,03:00,0.08
01-10-2024,04:00,1.93
01-10-2024,05:00,1.05
01-10-2024,06:00,2.21
01-10-2024,07:00,3.05
01-10-2024,08:00,1.97
01-10-2024,09:00,2.25
01-10-2024,10:00,4.15
01-10-2024,11:00,3.16
01-10-2024,12:00,1.16
01-10-2024,13:00,1.85
01-10-2024,14:00,3.18
01-10-2024,15:00,2.67
01-10-2024,16:00,3.79
01-10-2024,17:00,2.96
01-10-2024,18:00,2.0
01-10-2024,19:00,0.85
01-10-2024,20:00,0.59
01-10-2024,21:00,1.93
01-10-2024,22:00,1.53
01-10-2024,23:00,0.61
02-10-2024,00:00,1.4
02-10-2024,01:00,2.09
02-10-2024,02:00,1.96
02-10-2024,03:00,2.33
02-10-2024,04:00,1.77
02-10-2024,05:00,1.77
02-10-2024,06:00,5
02-10-2024,07:00,1.66
02-10-2024,08:00,2.69
02-10-2024,09:00,2.13
02-10-2024,10:00,3.65
02-10-2024,11:00,2.63
02-10-2024,12:00,2.09
02-10-2024,13:00,3.07
02-10-2024,14:00,2.37
02-10-2024,15:00,2.49
02-10-2024,16:00,4.25
02-10-2024,17:00,2.95
02-10-2024,18:00,2.74
02-10-2024,19:00,0
02-10-2024,20:00,0
02-10-2024,21:00,1.83
02-10-2024,22:00,0
02-10-2024,23:00,2.25
03-10-2024,00:00,0.61
03-10-2024,01:00,1.1
03-10-2024,02:00,0.52
03-10-2024,03:00,1.37
03-10-2024,04:00,0.19
03-10-2024,05:00,0.47
03-10-2024,06:00,2.57
03-10-2024,07:00,2.44
03-10-2024,08:00,2.57
03-10-2024,09:00,4.58
03-10-2024,10:00,2.01
03-10-2024,11:00,1.69
03-10-2024,12:00,2.71
03-10-2024,13:00,4.14
03-10-2024,14:00,4.75
03-10-2024,15:00,2.25
03-10-2024,16:00,3.05
03-10-2024,17:00,3.12
03-10-2024,18:00,4.11
03-10-2024,19:00,0
03-10-2024,20:00,0
03-10-2024,21:00,0.39
03-10-2024,22:00,0.03
03-10-2024,23:00,2.05
04-10-2024,00:00,1.56
04-10-2024,01:00,2.14
04-10-2024,02:00,2.1
04-10-2024,03:00,0.85
04-10-2024,04:00,3.13
04-10-2024,05:00,0
04-10-2024,06:00,2.21
04-10-2024,07:00,3.76
04-10-2024,08:00,2.76
04-10-2024,09:00,2.88
04-10-2024,10:00,1.24
04-10-2024,11:00,2.18
04-10-2024,12:00,2.62
04-10-2024,13:00,2.27
04-10-2024,14:00,3.58
04-10-2024,15:00,4.14
04-10-2024,16:00,3.35
04-10-2024,17:00,2.52
04-10-2024,18:00,2.92
04-10-2024,19:00,2.7
04-10-2024,20:00,1.27
04-10-2024,21:00,1.87
04-10-2024,22:00,0.92
04-10-2024,23:00,0.96
05-10-2024,00:00,1.11
05-10-2024,01:00,0.39
05-10-2024,02:00,0
05-10-2024,03:00,1.76
05-10-2024,04:00,1.39
05-10-2024,05:00,0.82
05-10-2024,06:00,4.5
05-10-2024,07:00,3.62
05-10-2024,08:00,2.84
05-10-2024,09:00,3.64
05-10-2024,10:00,1.56
05-10-2024,11:00,3.94
05-10-2024,12:00,3.35
05-10-2024,13:00,3.66
05-10-2024,14:00,1.99
05-10-2024,15:00,3.28
05-10-2024,16:00,2.28
05-10-2024,17:00,3.33
05-10-2024,18:00,2.51
05-10-2024,19:00,2.28
05-10-2024,20:00,0.57
05-10-2024,21:00,0.08
05-10-2024,22:00,1.21
05-10-2024,23:00,0.06
06-10-2024,00:00,2.19
06-10-2024,01:00,0.72
06-10-2024,02:00,0
06-10-2024,03:00,0.05
06-10-2024,04:00,0
06-10-2024,05:00,0.61
06-10-2024,06:00,2.99
06-10-2024,07:00,5
06-10-2024,08:00,3.41
06-10-2024,09:00,4.7
06-10-2024,10:00,2.28
06-10-2024,11:00,1.5
06-10-2024,12:00,1.64
06-10-2024,13:00,2.73
06-10-2024,14:00,3.22
06-10-2024,15:00,2.44
06-10-2024,16:00,2.83
06-10-2024,17:00,2.68
06-10-2024,18:00,2.74
06-10-2024,19:00,0.02
06-10-2024,20:00,0.05
06-10-2024,21:00,0.34
06-10-2024,22:00,0.27
06-10-2024,23:00,0
07-10-2024,00:00,0
07-10-2024,01:00,0.76
07-10-2024,02:00,0.55
07-10-2024,03:00,0.68
07-10-2024,04:00,1.26
07-10-2024,05:00,1.83
07-10-2024,06:00,4.55
07-10-2024,07:00,2.28
07-10-2024,08:00,1.57
07-10-2024,09:00,3.93
07-10-2024,10:00,2.95
07-10-2024,11:00,2.25
07-10-2024,12:00,2.96
07-10-2024,13:00,4.3
07-10-2024,14:00,3.22
07-10-2024,15:00,3.31
07-10-2024,16:00,2.89
07-10-2024,17:00,5
07-10-2024,18:00,3.29
07-10-2024,19:00,2.04
07-10-2024,20:00,0
07-10-2024,21:00,0
07-10-2024,22:00,0.83
07-10-2024,23:00,0.79
08-10-2024,00:00,0.23
08-10-2024,01:00,1.67
08-10-2024,02:00,0.53
08-10-2024,03:00,0.04
08-10-2024,04:00,0
08-10-2024,05:00,1.54
08-10-2024,06:00,4.24
08-10-2024,07:00,4.63
08-10-2024,08:00,3.17
08-10-2024,09:00,2.24
08-10-2024,10:00,3.31
08-10-2024,11:00,3.4
08-10-2024,12:00,1.74
08-10-2024,13:00,0.37
08-10-2024,14:00,2.81
08-10-2024,15:00,1.9
08-10-2024,16:00,3.31
08-10-2024,17:00,0.88
08-10-2024,18:00,4.49
08-10-2024,19:00,1.95
08-10-2024,20:00,1.53
08-10-2024,21:00,0.69
08-10-2024,22:00,0.13
08-10-2024,23:00,1.51
09-10-2024,00:00,4.32
09-10-2024,01:00,1.86
09-10-2024,02:00,1.17
09-10-2024,03:00,0
09-10-2024,04:00,0.51
09-10-2024,05:00,0.32
09-10-2024,06:00,1.4
09-10-2024,07:00,3.69
09-10-2024,08:00,3.01
09-10-2024,09:00,2.05
09-10-2024,10:00,3.37
09-10-2024,11:00,1.04
09-10-2024,12:00,2.96
09-10-2024,13:00,2.54
09-10-2024,14:00,2.88
09-10-2024,15:00,4.3
09-10-2024,16:00,3.62
09-10-2024,17:00,3.63
09-10-2024,18:00,1.95
09-10-2024,19:00,0.42
09-10-2024,20:00,2.74
09-10-2024,21:00,2.24
09-10-2024,22:00,0
09-10-2024,23:00,1.56
10-10-2024,00:00,0.55
10-10-2024,01:00,2.08
10-10-2024,02:00,1.61
10-10-2024,03:00,0
10-10-2024,04:00,0
10-10-2024,05:00,1.93
10-10-2024,06:00,2.77
10-10-2024,07:00,2.34
10-10-2024,08:00,2.89
10-10-2024,09:00,1.56
10-10-2024,10:00,3.14
10-10-2024,11:00,2.54
10-10-2024,12:00,1.5
10-10-2024,13:00,3.89
10-10-2024,14:00,2.21
10-10-2024,15:00,3.23
10-10-2024,16:00,3.04
10-10-2024,17:00,2.98
10-10-2024,18:00,2.27
10-10-2024,19:00,1.38
10-10-2024,20:00,0.1
10-10-2024,21:00,1.71
10-10-2024,22:00,1.47
10-10-2024,23:00,3.08
11-10-2024,00:00,0.68
11-10-2024,01:00,0.4
11-10-2024,02:00,0.58
11-10-2024,03:00,0.92
11-10-2024,04:00,1.27
11-10-2024,05:00,0
11-10-2024,06:00,3.6
11-10-2024,07:00,3.8
11-10-2024,08:00,2.1
11-10-2024,09:00,2.49
11-10-2024,10:00,3.01
11-10-2024,11:00,1.79
11-10-2024,12:00,4.24
11-10-2024,13:00,3.14
11-10-2024,14:00,2.45
11-10-2024,15:00,2.79
11-10-2024,16:00,1.44
11-10-2024,17:00,2.19
11-10-2024,18:00,2.24
11-10-2024,19:00,0.58
11-10-2024,20:00,3.23
11-10-2024,21:00,1.35
11-10-2024,22:00,0.79
11-10-2024,23:00,1.58
12-10-2024,00:00,0
12-10-2024,01:00,0
12-10-2024,02:00,0.55
12-10-2024,03:00,2.01
12-10-2024,04:00,3.09
12-10-2024,05:00,0
12-10-2024,06:00,4.04
12-10-2024,07:00,2.5
12-10-2024,08:00,2.29
12-10-2024,09:00,2.79
12-10-2024,10:00,2.58
12-10-2024,11:00,2.72
12-10-2024,12:00,3.9
12-10-2024,13:00,4.14
12-10-2024,14:00,3.26
12-10-2024,15:00,4.28
12-10-2024,16:00,3.49
12-10-2024,17:00,5
12-10-2024,18:00,2.32
12-10-2024,19:00,1.88
12-10-2024,20:00,3.3
12-10-2024,21:00,0.72
12-10-2024,22:00,0.93
12-10-2024,23:00,0
13-10-2024,00:00,1.18
13-10-2024,01:00,1.89
13-10-2024,02:00,0.37
13-10-2024,03:00,3.24
13-10-2024,04:00,1.45
13-10-2024,05:00,0
13-10-2024,06:00,5
13-10-2024,07:00,2.91
13-10-2024,08:00,2.14
13-10-2024,09:00,3.03
13-10-2024,10:00,2.56
13-10-2024,11:00,2.69
13-10-2024,12:00,3.09
13-10-2024,13:00,2.91
13-10-2024,14:00,1.42
